ilce_adi;mahalle_adi;endemik_(sadece_bu_bolgede_yetisen)_bitkiler
Ahırlı;ALİÇERÇİ;YOK
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;YOK
Ahırlı;BÜYÜKÖZ;YOK
Ahırlı;ÇİFTLİK;YOK
Ahırlı;ERDOĞAN;YOK
Ahırlı;KARACAKUYU;YOK
Ahırlı;KAYACIK;YOK
Ahırlı;KURUÇAY;YOK
Ahırlı;KÜÇÜKÖZ;YOK
Akören;AVDAN;YOK
Akören;KAYASU;YOK
Akören;AHMEDİYE;YOK
Akören;ALAN;YOK
Akören;BELKUYU;YOK
Akören;ÇATÖREN;YOK
Akören;DUTLU;YOK
Akören;ORHANİYE;YOK
Akören;SÜLEYMANİYE;YOK
Akören;TÜLCE;YOK
Akören;KARAHÜYÜK;YOK
Akşehir;ÇAKILLAR;YOK
Akşehir;GEDİL;YOK
Akşehir;KARAHÜYÜK;YOK
Akşehir;ADSIZ;YOK
Akşehir;ALANYURT;YOK
Akşehir;ALTUNTAŞ;YOK
Akşehir;ATAKENT;YOK
Akşehir;BOZLAĞAN;YOK
Akşehir;CANKURTARAN;YOK
Akşehir;ÇAMLI;YOK
Akşehir;ÇİMENDERE;YOK
Akşehir;DEĞİRMENKÖY;YOK
Akşehir;DOĞRUGÖZ;YOK
Akşehir;ENGİLİ;YOK
Akşehir;GÖLÇAYIR;YOK
Akşehir;GÖZPINARI;YOK
Akşehir;ILICAK;YOK
Akşehir;KARABULUT;YOK
Akşehir;ORTACA;YOK
Akşehir;ORTAKÖY;YOK
Akşehir;REİS;YOK
Akşehir;SAVAŞ;YOK
Akşehir;SORKUN;SARI MEYAN
Akşehir;SÖĞÜTLÜ;YOK
Akşehir;TEKKE;YOK
Akşehir;TİPİKÖY;YOK
Akşehir;ULUPINAR;YOK
Akşehir;ÜÇHÜYÜK;YOK
Akşehir;YAŞARLAR;YOK
Akşehir;YAYLABELEN;YOK
Akşehir;YAZLA;YOK
Akşehir;YENİKÖY;YOK
Akşehir;YEŞİLKÖY;YOK
Akşehir;SARAY;YOK
Altınekin;OĞUZELİ;YOK
Altınekin;AKCAŞAR;YOK
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;YOK
Altınekin;BORUKKUYU;YOK
Altınekin;HACINUMAN;YOK
Altınekin;KARAKAYA;YOK
Altınekin;KOÇAŞ;YOK
Altınekin;KOÇYAKA;YOK
Altınekin;MANTAR;YOK
Altınekin;YENİÖLMEZ;YOK
Altınekin;SARNIÇ;YOK
Altınekin;TOPRAKLIK;YOK
Altınekin;YENİKUYU;YOK
Altınekin;YENİYAYLA;YOK
Altınekin;DEDELER;YOK
Altınekin;AKINCILAR;YOK
Beyşehir;ADAKÖY;YOK
Beyşehir;AĞILÖNÜ;YOK
Beyşehir;AKBURUN;YOK
Beyşehir;AKÇABELEN;YOK
Beyşehir;AVDANCIK;YOK
Beyşehir;BADEMLİ;YOK
Beyşehir;BAYAT;YOK
Beyşehir;BAYAVŞAR;YOK
Beyşehir;BAYINDIR;YOK
Beyşehir;BAŞGÖZE;YOK
Beyşehir;BEKDEMİR;YOK
Beyşehir;DAMLAPINAR;YOK
Beyşehir;DOĞANBEY;YOK
Beyşehir;DOĞANCIK;YOK
Beyşehir;DUMANLI;YOK
Beyşehir;EMEN;YOK
Beyşehir;ESENCE;YOK
Beyşehir;EYLİKLER;YOK
Beyşehir;EĞİRLER;YOK
Beyşehir;FASILLAR;YOK
Beyşehir;GÖKÇEKUYU;YOK
Beyşehir;GÖKÇİMEN;YOK
Beyşehir;GÖLKAŞI;YOK
Beyşehir;GÖLYAKA;YOK
Beyşehir;GÖNEN;YOK
Beyşehir;GÖÇÜ;ÇOBAN DÖŞEĞİ
Beyşehir;GÜNDOĞDU;YOK
Beyşehir;HUĞLU;YOK
Beyşehir;HÜSEYİNLER;YOK
Beyşehir;İSAKÖY;YOK
Beyşehir;KARAALİ;YOK
Beyşehir;KARABAYAT;YOK
Beyşehir;KARADİKEN;SAZ SÜMBÜLÜ
Beyşehir;KARAHİSAR;YOK
Beyşehir;KAYABAŞI;YOK
Beyşehir;KURUCUOVA;YOK
Beyşehir;KUŞLUCA;YOK
Beyşehir;KÜÇÜKAVŞAR;YOK
Beyşehir;MESUTLAR;YOK
Beyşehir;SADIKHACI;YOK
Beyşehir;SARIKÖY;YOK
Beyşehir;SEVİNDİK;YOK
Beyşehir;ŞAMLAR;YOK
Beyşehir;ÜÇPINAR;YOK
Beyşehir;ÜSTÜNLER;YOK
Beyşehir;ÜZÜMLÜ;YOK
Beyşehir;YAZYURDU;YOK
Beyşehir;YENİDOĞAN;YOK
Beyşehir;YEŞİLDAĞ;YOK
Beyşehir;YUKARIESENCE;YOK
Beyşehir;YUNUSLAR;YOK
Beyşehir;ÇİFTLİK;YOK
Beyşehir;ÇİVRİL;YOK
Beyşehir;ÇUKURAĞIL;YOK
Bozkır;ÇAĞLAYAN;YOK
Bozkır;HAMZALAR;YOK
Bozkır;AKÇAPINAR;YOK
Bozkır;ARMUTLU;YOK
Bozkır;ARSLANTAŞ;YOK
Bozkır;AYDINKIŞLA;YOK
Bozkır;AYVALCA;YOK
Bozkır;BAĞYURDU;YOK
Bozkır;BAYBAĞAN;YOK
Bozkır;BOZDAM;YOK
Bozkır;DEREİÇİ;YOK
Bozkır;DEREKÖY;YOK
Bozkır;ELMAAĞAÇ;YOK
Bozkır;HACILAR;YOK
Bozkır;HACIYUNUSLAR;YOK
Bozkır;HARMANPINAR;YOK
Bozkır;HİSARLIK;YOK
Bozkır;IŞIKLAR;YOK
Bozkır;KARABAYIR;YOK
Bozkır;KARACAARDIÇ;YOK
Bozkır;KARACAHİSAR;YOK
Bozkır;KARAYAHYA;YOK
Bozkır;KAYACILAR;YOK
Bozkır;KAYAPINAR;YOK
Bozkır;KINIK;YOK
Bozkır;KIZILÇAKIR;YOK
Bozkır;KİLDERE;YOK
Bozkır;KOVANLIK;YOK
Bozkır;KOZAĞAÇ;YOK
Bozkır;KUŞÇA;YOK
Bozkır;KÜÇÜKHİSARLIK;YOK
Bozkır;PINARCIK;YOK
Bozkır;SARIOĞLAN;YOK
Bozkır;SAZLI;YOK
Bozkır;SOĞUCAK;YOK
Bozkır;SORKUN;YOK
Bozkır;SÖĞÜT;YOK
Bozkır;TARLABAŞI;YOK
Bozkır;TAŞBAŞI;YOK
Bozkır;TEPEARASI;YOK
Bozkır;TEPELİCE;YOK
Bozkır;ULUPINAR;YOK
Bozkır;ÜÇPINAR;YOK
Bozkır;YALNIZCA;YOK
Bozkır;YAZDAMI;YOK
Bozkır;YELBEYİ;YOK
Bozkır;YENİKÖY;YOK
Bozkır;YOLÖREN;YOK
Çeltik;GÖKPINAR;YOK
Çeltik;ADAKASIM;YOK
Çeltik;DOĞANYURT;YOK
Çeltik;KAŞÖREN;YOK
Çeltik;KÜÇÜKHASAN;YOK
Çeltik;TORUNLAR;YOK
Çeltik;İSHAKUŞAĞI;YOK
Çeltik;HONAMLI;YOK
Cihanbeyli;BÖĞRÜDELİK;YOK
Cihanbeyli;YAPALI;YOK
Cihanbeyli;YENİCEOBA;YOK
Cihanbeyli;CUMHURİYET;YOK
Cihanbeyli;GEMECİK;YOK
Cihanbeyli;GÖKTEPE;YOK
Cihanbeyli;AĞABEYLİ;YOK
Cihanbeyli;HODOĞLU;YOK
Cihanbeyli;KAYI;YOK
Cihanbeyli;KIRKIŞLA;YOK
Cihanbeyli;KORKMAZLAR;YOK
Cihanbeyli;KÜÇÜKBEŞKAVAK;YOK
Cihanbeyli;MUTLUKONAK;YOK
Cihanbeyli;SAĞLIK;YOK
Cihanbeyli;SIĞIRCIK;YOK
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇİPINAR;YOK
Cihanbeyli;UZUNCAYAYLA;YOK
Cihanbeyli;YÜNLÜKUYU;YOK
Cihanbeyli;ZAFERİYE;YOK
Cihanbeyli;GÖLYAZI;YOK
Cihanbeyli;GÜNYÜZÜ;YOK
Cihanbeyli;İNSUYU;YOK
Cihanbeyli;KANDİL;YOK
Cihanbeyli;KARABAĞ;YOK
Cihanbeyli;KELHASAN;YOK
Cihanbeyli;KUŞCA;YOK
Cihanbeyli;KÜTÜKUŞAĞI;YOK
Cihanbeyli;TAŞPINAR;YOK
Cihanbeyli;BEYLİOVA;YOK
Cihanbeyli;ÇİMEN;YOK
Cihanbeyli;ÇÖL;YOK
Cihanbeyli;DAMLAKUYU;YOK
Cihanbeyli;BULDUK;YOK
Cihanbeyli;BÜYÜKBEŞKAVAK;YOK
Cihanbeyli;KARATEPE;YOK
Çumra;ARIKÖREN;YOK
Çumra;DEDEMOĞLU;YOK
Çumra;TÜRKMENCAMİLİ;YOK
Çumra;A.B.HÜYÜĞÜ;YOK
Çumra;DİNEK;YOK
Çumra;İÇERİÇUMRA;YOK
Çumra;GÜVERCİNLİK;YOK
Çumra;KARKIN;YOK
Çumra;OKÇU;YOK
Çumra;YENİSU;YOK
Çumra;APA;YOK
Çumra;ABDİTOLU;YOK
Çumra;ADAKALE;YOK
Çumra;ALEMDAR;YOK
Çumra;APASARAYCIK;YOK
Çumra;AFŞAR;YOK
Çumra;AVDUL;YOK
Çumra;BALÇIKHİSAR;YOK
Çumra;BEYLERCE;YOK
Çumra;B.AŞLAMA;YOK
Çumra;CİCEK;YOK
Çumra;ÇUKURKAVAK;YOK
Çumra;DİNLENDİK;YOK
Çumra;DİNEKSARAY;YOK
Çumra;DOĞANLI;YOK
Çumra;FETHİYE;YOK
Çumra;GÖKHÜYÜK;YOK
Çumra;ERENTEPE;YOK
Çumra;İNLİ;YOK
Çumra;KUZUCU;YOK
Çumra;KÜÇÜKKÖY;YOK
Çumra;SEÇME;YOK
Çumra;SÜRGÜÇ;YOK
Çumra;TAHTALI;YOK
Çumra;T.KARAHÜYÜK;YOK
Çumra;TAŞAĞIL;YOK
Çumra;UZUNKUYU;YOK
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;YOK
Çumra;YÖRÜKCAMİLİ;YOK
Çumra;ÇAYBAŞI;YOK
Derbent;ÇİFTLİKÖZÜ;YOK
Derbent;DEĞİŞ;YOK
Derbent;TEKKE;YOK
Derbent;GÜNEYKÖY;YOK
Derbent;MÜLAYİM;YOK
Derbent;SARAYPINAR;YOK
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;YOK
Derbent;KARALAR;YOK
Derebucak;ÇAMLIK;YOK
Derebucak;DURAK;YOK
Derebucak;GENCEK;YOK
Derebucak;GÖYNEM;YOK
Derebucak;PINARBAŞI;YOK
Derebucak;TAŞLIPINAR;YOK
Derebucak;TEPEARASI;YOK
Derebucak;UĞURLU;YOK
Doğanhisar;BAŞKÖY;YOK
Doğanhisar;YAZLICA;YOK
Doğanhisar;AYASLAR;YOK
Doğanhisar;ÇINAROBA;YOK
Doğanhisar;DEŞTİĞİN;YOK
Doğanhisar;FIRINLI;YOK
Doğanhisar;GÜVENDİK;YOK
Doğanhisar;İLYASLAR;YOK
Doğanhisar;KARAAĞA;YOK
Doğanhisar;KEMER;YOK
Doğanhisar;KOÇAŞ;YOK
Doğanhisar;KONAKKALE;YOK
Doğanhisar;TEKKE;YOK
Doğanhisar;UNCULAR;YOK
Doğanhisar;YAZIR;YOK
Doğanhisar;YENİCE;YOK
Emirgazi;EKİZLİ;YOK
Emirgazi;AKMESCİT;YOK
Emirgazi;BESCİ;YOK
Emirgazi;DEMİRCİ;YOK
Emirgazi;GÖLÖREN;YOK
Emirgazi;IŞIKLAR;YOK
Emirgazi;KARAÖREN;YOK
Emirgazi;MEŞELİ;YOK
Emirgazi;ÖBEKTAŞ;YOK
Emirgazi;YAMAÇ;YOK
Ereğli;ZENGEN;YOK
Ereğli;ACIPINAR;YOK
Ereğli;ADABAĞ;YOK
Ereğli;AKHÜYÜK;YOK
Ereğli;ALHAN;YOK
Ereğli;AŞAĞI GÖNDELEN;YOK
Ereğli;AŞIKLAR;YOK
Ereğli;AZİZİYE;YOK
Ereğli;BAHÇELİ;YOK
Ereğli;BELCEAĞAÇ;YOK
Ereğli;BELKAYA;YOK
Ereğli;BEYKÖY;YOK
Ereğli;BEYÖREN;YOK
Ereğli;BULGURLUK;YOK
Ereğli;BURHANİYE;YOK
Ereğli;BÜYÜKDEDE;YOK
Ereğli;ÇAKMAK;YOK
Ereğli;ÇAYHAN;YOK
Ereğli;ÇİLLER;YOK
Ereğli;ÇİMENCİK;YOK
Ereğli;GAYBİ;YOK
Ereğli;GÖKÇEYAZI;YOK
Ereğli;GÖKTÖME;YOK
Ereğli;HACIMEMİŞ;YOK
Ereğli;KAMIŞLIKUYU;YOK
Ereğli;KARABURUN;YOK
Ereğli;KARGACI;YOK
Ereğli;KIZILGEDİK;YOK
Ereğli;KUSKUNCUK;YOK
Ereğli;KUTÖREN;YOK
Ereğli;KUZUKUYU;YOK
Ereğli;MELİCEK;YOK
Ereğli;ORHANİYE;YOK
Ereğli;ÖZGÜRLER;YOK
Ereğli;PINARÖZÜ;YOK
Ereğli;SARICA;YOK
Ereğli;SARITOPALLI;YOK
Ereğli;SELVİLİ;YOK
Ereğli;TAŞAĞIL;YOK
Ereğli;TAŞBUDAK;YOK
Ereğli;TATLIKUYU;YOK
Ereğli;TÜRKMEN;YOK
Ereğli;ULUMEŞE;YOK
Ereğli;YAZLIK;YOK
Ereğli;YELLİCE;YOK
Ereğli;YENİKÖY;YOK
Ereğli;YILDIZLI;YOK
Ereğli;YUKARIGÖNDELEN;YOK
Ereğli;HORTU;YOK
Ereğli;ACIKUYU;YOK
Güneysınır;GÜRAĞAÇ;YOK
Güneysınır;AĞAÇOBA;YOK
Güneysınır;ALANÖZÜ;YOK
Güneysınır;AVCITEPE;YOK
Güneysınır;AYDOĞMUŞ;YOK
Güneysınır;HABİLLER;YOK
Güneysınır;KARAGÜNEY;YOK
Güneysınır;KAYAAĞZI;YOK
Güneysınır;KIZILÖZ;YOK
Güneysınır;KURUKAVAK;YOK
Güneysınır;MEHMET ALİ;YOK
Güneysınır;ÖMEROĞLU;YOK
Güneysınır;ÖRENBOYALI;YOK
Güneysınır;SARIHACI;YOK
Hadim;AŞAĞIEŞENLER;YOK
Hadim;AŞAĞIKIZILKAYA;YOK
Hadim;BADEMLİ;YOK
Hadim;BAĞBAŞI;YOK
Hadim;BEYRELİ;YOK
Hadim;BOLAT;YOK
Hadim;ÇİFTEPINAR;YOK
Hadim;DEDEMLİ;YOK
Hadim;DÜLGERLER;YOK
Hadim;FAKILAR;YOK
Hadim;GAZİLER;YOK
Hadim;GÖYNÜKKIŞLA;YOK
Hadim;GÜLPINAR;YOK
Hadim;İĞDEÖREN;YOK
Hadim;KALINAĞIL;ERENLER ÇİÇEĞİ
Hadim;KAPLANLI;YOK
Hadim;GEZLEVİ;YOK
