ilce_adi,mahalle_adi,endemik_bitki_1,endemik_bitki_2,endemik_bitki_3
Hadim,GEZLEVİ,YOK,YOK,YOK
Hadim,KÜPLÜCE,YOK,YOK,YOK
Hadim,ODUNCU,YOK,YOK,YOK
Hadim,SARNIÇ,YOK,YOK,YOK
Hadim,SELAHATTİN,YOK,YOK,YOK
Hadim,UMURLAR,YOK,YOK,YOK
Hadim,YAĞCI,YOK,YOK,YOK
Hadim,YALINÇEVRE,YOK,YOK,YOK
Hadim,YELMEZ,YOK,YOK,YOK
Hadim,YENİKONAK,YOK,YOK,YOK
Hadim,YUKARIEŞENLER,YOK,YOK,YOK
Halkapınar,İVRİZ,YOK,YOK,YOK
Halkapınar,BÜYÜKDOĞAN,YOK,YOK,YOK
Halkapınar,DEDELİ,YOK,YOK,YOK
Halkapınar,DELİMAHMUTLU,YOK,YOK,YOK
Halkapınar,ESKİHİSAR,YOK,YOK,YOK
Halkapınar,KARAYUSUFLU,YOK,YOK,YOK
Halkapınar,KAYASARAY,YOK,YOK,YOK
Halkapınar,KÖRLÜ,YOK,YOK,YOK
Halkapınar,KÜSERE,YOK,YOK,YOK
Halkapınar,OSMANKÖSELİ,KONGUR, HASRET GÜLÜ, TERS LALE
Halkapınar,SEYDİFAKILI,YOK,YOK,YOK
Halkapınar,YASSIKAYA,YOK,YOK,YOK
Halkapınar,YAYIKLI,YOK,YOK,YOK
Halkapınar,YEŞİLYURT,YOK,YOK,YOK
Halkapınar,ÇAKILLAR,YOK,YOK,YOK
Hüyük,BAŞLAMIŞ,YOK,YOK,YOK
Hüyük,BUDAK,YOK,YOK,YOK
Hüyük,BURUNSUZ,YOK,YOK,YOK
Hüyük,ÇAMLICA,YOK,YOK,YOK
Hüyük,ÇAVUŞ,YOK,YOK,YOK
Hüyük,ÇUKURKENT,YOK,YOK,YOK
Hüyük,DEĞİRMENALTI,YOK,YOK,YOK
Hüyük,GÖÇERİ,YOK,YOK,YOK
Hüyük,GÖRÜNMEZ,YOK,YOK,YOK
Hüyük,İLMEN,YOK,YOK,YOK
Hüyük,İMRENLER,YOK,YOK,YOK
Hüyük,KIRELİ,YOK,YOK,YOK
Hüyük,KÖŞK,YOK,YOK,YOK
Hüyük,MUTLU,YOK,YOK,YOK
Hüyük,PINARBAŞI,YOK,YOK,YOK
Hüyük,SELKİ,YOK,YOK,YOK
Hüyük,SULUDERE,YOK,YOK,YOK
Hüyük,TOLCA,YOK,YOK,YOK
Hüyük,YENİCE,YOK,YOK,YOK
Ilgın,ARGITHANI,YOK,YOK,YOK
Ilgın,BEYKONAK,YOK,YOK,YOK
Ilgın,ÇAVUŞÇUGÖL,YOK,YOK,YOK
Ilgın,AĞALAR,YOK,YOK,YOK
Ilgın,BALKI,YOK,YOK,YOK
Ilgın,BARAKMUSLU,YOK,YOK,YOK
Ilgın,BELEKLER,YOK,YOK,YOK
Ilgın,BOĞAZKENT,YOK,YOK,YOK
Ilgın,BULCUK,YOK,YOK,YOK
Ilgın,BÜYÜKOBA,YOK,YOK,YOK
Ilgın,ÇİĞİL,YOK,YOK,YOK
Ilgın,ÇATAK,YOK,YOK,YOK
Ilgın,ÇOBANKAYA,YOK,YOK,YOK
Ilgın,ÇÖMLEKCİ,YOK,YOK,YOK
Ilgın,DEREKÖY,YOK,YOK,YOK
Ilgın,DIĞRAK,YOK,YOK,YOK
Ilgın,DÜĞER,YOK,YOK,YOK
Ilgın,ELDEŞ,YOK,YOK,YOK
Ilgın,GEÇİT,YOK,YOK,YOK
Ilgın,GEDİKÖREN,YOK,YOK,YOK
Ilgın,GÖSTERE,YOK,YOK,YOK
Ilgın,GÖKÇEYURT,YOK,YOK,YOK
Ilgın,GÖLYAKA,YOK,YOK,YOK
Ilgın,GÖKBUDAK,YOK,YOK,YOK
Ilgın,GÜNEYPINAR,YOK,YOK,YOK
Ilgın,HARMANYAZI,YOK,YOK,YOK
Ilgın,İHSANİYE,YOK,YOK,YOK
Ilgın,KAPAKLI,YOK,YOK,YOK
Ilgın,KARAKÖY,YOK,YOK,YOK
Ilgın,KALEKÖY,YOK,YOK,YOK
Ilgın,MAHMUTHİSAR,YOK,YOK,YOK
Ilgın,MECİDİYE,YOK,YOK,YOK
Ilgın,MİSAFİRLİ,YOK,YOK,YOK
Ilgın,OLUKPINAR,YOK,YOK,YOK
Ilgın,ORHANİYE,YOK,YOK,YOK
Ilgın,ORMANÖZÜ,YOK,YOK,YOK
Ilgın,SADIKKÖY,YOK,YOK,YOK
Ilgın,SEBİLLER,YOK,YOK,YOK
Ilgın,TEKELER,YOK,YOK,YOK
Ilgın,YUKARIÇİĞİL,YOK,YOK,YOK
Ilgın,YORAZLAR,YOK,YOK,YOK
Ilgın,ZAFERİYE,YOK,YOK,YOK
Ilgın,AVDAN,YOK,YOK,YOK
Kadınhanı,OSMANCIK,YOK,YOK,YOK
Kadınhanı,AFŞARLI,YOK,YOK,YOK
Kadınhanı,ALABAĞ,YOK,YOK,YOK
Kadınhanı,ATLANTI,YOK,YOK,YOK
Kadınhanı,BAKIRPINAR,YOK,YOK,YOK
Kadınhanı,BAŞKUYU,YOK,YOK,YOK
Kadınhanı,BAYRAMLI,YOK,YOK,YOK
Kadınhanı,BEYKAVAĞI,YOK,YOK,YOK
Kadınhanı,BULGURPINAR,YOK,YOK,YOK
Kadınhanı,ÇAVDAR,YOK,YOK,YOK
Kadınhanı,ÇEŞMECİK,YOK,YOK,YOK
Kadınhanı,ÇUBUK,YOK,YOK,YOK
Kadınhanı,DEMİROLUK,YOK,YOK,YOK
Kadınhanı,HACIMEHMETLİ,YOK,YOK,YOK
Kadınhanı,HACIOFLAZLAR,YOK,YOK,YOK
Kadınhanı,HACIPİRLİ,YOK,YOK,YOK
Kadınhanı,KABACALI,YOK,YOK,YOK
Kadınhanı,KAMIŞLIÖZÜ,YOK,YOK,YOK
Kadınhanı,KARAHİSARLI,YOK,YOK,YOK
Kadınhanı,KARAKURTLU,YOK,YOK,YOK
Kadınhanı,KARASEVİNÇ,YOK,YOK,YOK
Kadınhanı,KARAYÜRÜKLÜ,YOK,YOK,YOK
Kadınhanı,KIZILKUYU,YOK,YOK,YOK
Kadınhanı,KOLUKISA,YOK,YOK,YOK
Kadınhanı,KONURÖREN,YOK,YOK,YOK
Kadınhanı,KÖKEZ,YOK,YOK,YOK
Kadınhanı,KÖYLÜTOLU,YOK,YOK,YOK
Kadınhanı,KURTHASANLI,YOK,YOK,YOK
Kadınhanı,KÜÇÜKKUYU,YOK,YOK,YOK
Kadınhanı,MAHMUDİYE,YOK,YOK,YOK
Kadınhanı,MEYDANLI,YOK,YOK,YOK
Kadınhanı,ÖRNEK,YOK,YOK,YOK
Kadınhanı,PİRALİ,YOK,YOK,YOK
Kadınhanı,PUSAT,YOK,YOK,YOK
Kadınhanı,SAÇIKARA,YOK,YOK,YOK
Kadınhanı,SARIKAYA,YOK,YOK,YOK
Kadınhanı,SÖĞÜTÖZÜ,YOK,YOK,YOK
Kadınhanı,ŞAHÖREN,YOK,YOK,YOK
Kadınhanı,TOSUNOĞLU,YOK,YOK,YOK
Kadınhanı,YAĞLICA,YOK,YOK,YOK
Kadınhanı,YAYLAYAKA,YOK,YOK,YOK
Karapınar,HOTAMIŞ,YOK,YOK,YOK
Karapınar,KESMEZ,YOK,YOK,YOK
Karapınar,AKÇAYAZI,YOK,YOK,YOK
Karapınar,AKÖREN,YOK,YOK,YOK
Karapınar,ÇİĞİL,YOK,YOK,YOK
Karapınar,HASANOBA,YOK,YOK,YOK
Karapınar,İSLİK,YOK,YOK,YOK
Karapınar,KARAKIŞLA,YOK,YOK,YOK
Karapınar,KAYACIK,YOK,YOK,YOK
Karapınar,KAYALI,YOK,YOK,YOK
Karapınar,KAZANHÜYÜĞÜ,YOK,YOK,YOK
Karapınar,KÜÇÜKAŞLAMA,YOK,YOK,YOK
Karapınar,ORTAOBA,YOK,YOK,YOK
Karapınar,OYMALI,MAHMUDİYE,YOK,YOK
Karapınar,SAZLIPINAR,YOK,YOK,YOK
Karapınar,YAĞMAPINAR,YOK,YOK,YOK
Karapınar,YENİKUYU,YOK,YOK,YOK
Karapınar,YEŞİLYURT,YOK,YOK,YOK
Karatay,YARMA,YOK,YOK,YOK
Karatay,ACIDORT,YOK,YOK,YOK
Karatay,AĞSAKLI,YOK,YOK,YOK
Karatay,AKBAŞ,YOK,YOK,YOK
Karatay,AKÖRENKIŞLA,YOK,YOK,YOK
Karatay,BAKIRTOLU,YOK,YOK,YOK
Karatay,BAŞGÖTÜREN,YOK,YOK,YOK
Karatay,BEŞAĞIL,YOK,YOK,YOK
Karatay,BÜYÜKBURNAK,YOK,YOK,YOK
Karatay,ÇENGİLTİ,YOK,YOK,YOK
Karatay,DİVANLAR,YOK,YOK,YOK
Karatay,ESENTEPE,YOK,YOK,YOK
Karatay,GÖÇÜ,YOK,YOK,YOK
Karatay,HAYIROĞLU MERKEZ,YOK,YOK,YOK
Karatay,İPEKLER,YOK,YOK,YOK
Karatay,İSMİL,YOK,YOK,YOK
Karatay,KARADONA,YOK,YOK,YOK
Karatay,KARAKAYA,YOK,YOK,YOK
Karatay,KATRANCI,YOK,YOK,YOK
Karatay,KIZÖREN,YOK,YOK,YOK
Karatay,KÖSEALİ,YOK,YOK,YOK
Karatay,OBRUK,YOK,YOK,YOK
Karatay,OVAKAVAĞI,YOK,YOK,YOK
Karatay,SAKYATAN,YOK,YOK,YOK
Karatay,SÜRÜÇ,YOK,YOK,YOK
Karatay,ŞATIR,YOK,YOK,YOK
Karatay,YAĞLIBAYAT,YOK,YOK,YOK
Karatay,YAVŞANKUYU,YOK,YOK,YOK
Karatay,YENİCE,YOK,YOK,YOK
Karatay,YENİKENT,YOK,YOK,YOK
Karatay,ZİNCİRLİ,YOK,YOK,YOK
Kulu,ACIKUYU,YOK,YOK,YOK
Kulu,AĞILBAŞI,YOK,YOK,YOK
Kulu,ALTILAR,YOK,YOK,YOK
Kulu,ARŞINCA,YOK,YOK,YOK
Kulu,BEŞKARDEŞ,YOK,YOK,YOK
Kulu,BOĞAZÖREN,YOK,YOK,YOK
Kulu,BOZAN,YOK,YOK,YOK
Kulu,BURUNAĞIL,YOK,YOK,YOK
Kulu,CANIMANA,YOK,YOK,YOK
Kulu,CELEP,YOK,YOK,YOK
Kulu,DİPDEDE,YOK,YOK,YOK
Kulu,DOĞUTEPE,YEPELEK,YOK,YOK
Kulu,FEVZİYE,YOK,YOK,YOK
Kulu,GÖKLER,YOK,YOK,YOK
Kulu,GÜZELYAYLA,YOK,YOK,YOK
Kulu,HİSAR,YOK,YOK,YOK
Kulu,KARACADAĞ,YOK,YOK,YOK
Kulu,KARACADERE,YOK,YOK,YOK
Kulu,KIRKKUYU,YOK,YOK,YOK
Kulu,KIRKPINAR,YOK,YOK,YOK
Kulu,KOZANLI,YOK,YOK,YOK
Kulu,KÖMÜŞİNİ,YOK,YOK,YOK
Kulu,KÖŞKER,YOK,YOK,YOK
Kulu,SARIYAYLA,YOK,YOK,YOK
Kulu,SEYİTAHMETLİ,YOK,YOK,YOK
Kulu,SOĞUKKUYU,YOK,YOK,YOK
Kulu,ŞEREFLİ,YOK,YOK,YOK
Kulu,TAVLIÖREN,YOK,YOK,YOK
Kulu,ÖMERANLI,YOK,YOK,YOK
Kulu,TUZYAKA,YOK,YOK,YOK
Kulu,YARAŞLI,YOK,YOK,YOK
Kulu,YAZIÇAYIR,YOK,YOK,YOK
Kulu,YEŞİLTEPE,YOK,YOK,YOK
Kulu,YEŞİLYURT,YOK,YOK,YOK
Kulu,ZİNCİRLİKUYU,YOK,YOK,YOK
Kulu,BAHADIRLI,YOK,YOK,YOK
Kulu,DEĞİRMENÖZÜ,YOK,YOK,YOK
Meram,ERENKAYA,YOK,YOK,YOK
Meram,YATAĞAN,YOK,YOK,YOK
Meram,GÖKYURT,YOK,YOK,YOK
Meram,BAYAT,YOK,YOK,YOK
Meram,BORUKTOLU,YOK,YOK,YOK
Meram,BOTSA,YOK,YOK,YOK
Meram,ÇAYIRBAĞI,YOK,YOK,YOK
Meram,ÇOMAKLAR,YOK,YOK,YOK
Meram,ÇUKURÇİMEN,YOK,YOK,YOK
Meram,EVLİYATEKKE,YOK,YOK,YOK
Meram,HATUNSARAY,YOK,YOK,YOK
Meram,İKİPINAR,YOK,YOK,YOK
Meram,İLYASBABA,YOK,YOK,YOK
Meram,İNLİCE,YOK,YOK,YOK
Meram,KARAAĞAÇ,YOK,YOK,YOK
Meram,KAVAK,YOK,YOK,YOK
Meram,KAYADİBİ,YOK,YOK,YOK
Meram,KAYALI,YOK,YOK,YOK
Meram,KAYHÜYÜK,YOK,YOK,YOK
Meram,KIZILÖREN,YOK,YOK,YOK
Meram,KUMRALI,YOK,YOK,YOK
Meram,SADIKLAR,YOK,YOK,YOK
Meram,SAĞLIK,YOK,YOK,YOK
Meram,SARIKIZ,YOK,YOK,YOK
Meram,SEFAKÖY,YOK,YOK,YOK
Meram,YEŞİLDERE,YOK,YOK,YOK
Meram,YEŞİLTEKKE,YOK,YOK,YOK
Meram,KAŞINHANI,YOK,YOK,YOK
Sarayönü,LADİK,YOK,YOK,YOK
Sarayönü,BAHÇESARAY,YOK,YOK,YOK
Sarayönü,BAŞHÜYÜK,YOK,YOK,YOK
Sarayönü,BOYALI,YOK,YOK,YOK
Sarayönü,BÜYÜKZENGİ,YOK,YOK,YOK
Sarayönü,ÇEŞMELİSEBİL,YOK,YOK,YOK
Sarayönü,DEĞİRMENLİ,YOK,YOK,YOK
Sarayönü,ERTUĞRUL,YOK,YOK,YOK
Sarayönü,GÖZLÜ,YOK,YOK,YOK
Sarayönü,KADIOĞLU,YOK,YOK,YOK
Sarayönü,KARABIYIK,YOK,YOK,YOK
Sarayönü,KARATEPE,YOK,YOK,YOK
Sarayönü,KAYIÖREN,YOK,YOK,YOK
Sarayönü,KONAR,YOK,YOK,YOK
Sarayönü,KURŞUNLU,YOK,YOK,YOK
Sarayönü,KUYULUSEBİL,YOK,YOK,YOK
Sarayönü,ÖZKENT,YOK,YOK,YOK
Sarayönü,YENİCEKAYA,YOK,YOK,YOK
Selçuklu,BAŞARAKAVAK, KONGUR,YOK,YOK
Selçuklu,SARAYKÖY,YOK,YOK,YOK
Selçuklu,SULUTAS,YOK,YOK,YOK
Selçuklu,TATKÖY,YOK,YOK,YOK
Selçuklu,AKPINAR,YOK,YOK,YOK
Selçuklu,BAĞRIKURT,YOK,YOK,YOK
Selçuklu,BİÇER,YOK,YOK,YOK
Selçuklu,ÇALDERE,YOK,YOK,YOK
Selçuklu,ÇALTI,YOK,YOK,YOK
Selçuklu,ÇANDIR,YOK,YOK,YOK
Selçuklu,DAĞDERE,YOK,YOK,YOK
Selçuklu,EĞRİBAYAT,YOK,YOK,YOK
Selçuklu,GÜVENÇ,YOK,YOK,YOK
Selçuklu,KALE,YOK,YOK,YOK
Selçuklu,KARAÖMERLER,YOK,YOK,YOK
Selçuklu,KERVAN,YOK,YOK,YOK
Selçuklu,KINIK,YOK,YOK,YOK
Selçuklu,KIZILCAKUYU,YOK,YOK,YOK
Selçuklu,MEYDAN,YOK,YOK,YOK
Selçuklu,SELAHATTİN,YOK,YOK,YOK
Selçuklu,SIZMA,YOK,YOK,YOK
Selçuklu,TEPEKENT,YOK,YOK,YOK
Selçuklu,ULUMUHSİNE,YOK,YOK,YOK
Selçuklu,YAZIBELEN,YOK,YOK,YOK
Selçuklu,SİLLE,YOK,YOK,YOK
Selçuklu,ARDIÇLI,YOK,YOK,YOK
Selçuklu,AŞAĞIPINARBAŞI,YOK,YOK,YOK
Selçuklu,YUKARIPINARBAŞI,YOK,YOK,YOK
Selçuklu,KÜÇÜKMUHSİNE,YOK,YOK,YOK
Selçuklu,SARICALAR,YOK,YOK,YOK
Selçuklu,TÖMEK,YOK,YOK,YOK
Selçuklu,YÜKSELEN,YOK,YOK,YOK
Seydişehir,KESECİK,YOK,YOK,YOK
Seydişehir,AKÇALAR,YOK,YOK,YOK
Seydişehir,AŞAĞIKARAÖREN,YOK,YOK,YOK
Seydişehir,BAŞKARAÖREN,YOK,YOK,YOK
Seydişehir,BOSTANDERE,YOK,YOK,YOK
Seydişehir,BOYALI,YOK,YOK,YOK
Seydişehir,BÜKÇE,YOK,YOK,YOK
Seydişehir,ÇAT,YOK,YOK,YOK
Seydişehir,ÇATMAKAYA,YOK,YOK,YOK
Seydişehir,ÇAVUŞ,YOK,YOK,YOK
Seydişehir,DİKİLİTAŞ,YOK,YOK,YOK
Seydişehir,GEVREKLİ,YOK,YOK,YOK
Seydişehir,GÖKÇEHÜYÜK,YOK,YOK,YOK
Seydişehir,GÖKHÜYÜK,YOK,YOK,YOK
Seydişehir,GÖLYÜZÜ,YOK,YOK,YOK
Seydişehir,IRMAKLI,YOK,YOK,YOK
Seydişehir,İNCESU,YOK,YOK,YOK
Seydişehir,KARABULAK,YOK,YOK,YOK
Seydişehir,KARACAÖREN,YOK,YOK,YOK
Seydişehir,KAVAK,YOK,YOK,YOK
Seydişehir,KETENLİ,YOK,YOK,YOK
Seydişehir,KIZILCA,YOK,YOK,YOK
Seydişehir,KOZLU,YOK,YOK,YOK
Seydişehir,KUMLUCA,YOK,YOK,YOK
Seydişehir,KURAN,YOK,YOK,YOK
Seydişehir,MADENLİ,YOK,YOK,YOK
Seydişehir,MESUDİYE,YOK,YOK,YOK
Seydişehir,MURADİYE,YOK,YOK,YOK
Seydişehir,OĞLAKÇI,YOK,YOK,YOK
Seydişehir,ORTAKARAÖREN,YOK,YOK,YOK
Seydişehir,SARAYCIK,YOK,YOK,YOK
Seydişehir,SUSUZ,YOK,YOK,YOK
Seydişehir,TARAŞÇI,YOK,YOK,YOK
Seydişehir,TAŞAĞIL,YOK,YOK,YOK
Seydişehir,TEPECİK,YOK,YOK,YOK
Seydişehir,TOL,YOK,YOK,YOK
Seydişehir,UFACIK,YOK,YOK,YOK
Seydişehir,YAYLACIK,YOK,YOK,YOK
Seydişehir,YENİCE,YOK,YOK,YOK
Taşkent,AFŞAR,YOK,YOK,YOK
Taşkent,BALCILAR,YOK,YOK,YOK
Taşkent,BOLAY,YOK,YOK,YOK
Taşkent,ÇETMİ,YOK,YOK,YOK
Taşkent,KECİMEN,YOK,YOK,YOK
Taşkent,KONGUL,YOK,YOK,YOK
Taşkent,SAZAK,YOK,YOK,YOK
Taşkent,ILICAPINAR,YOK,YOK,YOK
Tuzlukçu,KONARI,YOK,YOK,YOK
Tuzlukçu,MEVLÜTLÜ,YOK,YOK,YOK
Tuzlukçu,KORAŞI,YOK,YOK,YOK
Tuzlukçu,ÇÖĞÜRLÜ,YOK,YOK,YOK
Tuzlukçu,TURSUNLU,YOK,YOK,YOK
Tuzlukçu,KUNDULLU,YOK,YOK,YOK
Tuzlukçu,PAZARKAYA,YOK,YOK,YOK
Tuzlukçu,SUBATAN,YOK,YOK,YOK
Tuzlukçu,GÜRSU,YOK,YOK,YOK
Tuzlukçu,ERDOĞDU,YOK,YOK,YOK
Tuzlukçu,KÖKLÜCE,YOK,YOK,YOK
Yalıhüyük,SARAY,YOK,YOK,YOK
Yalıhüyük,ARASÖĞÜT,YOK,YOK,YOK
Yunak,KUZÖREN,YOK,YOK,YOK
Yunak,KOÇYAZI,YOK,YOK,YOK
Yunak,TURGUT,YOK,YOK,YOK
Yunak,PİRİBEYLİ,YOK,YOK,YOK
Yunak,SÜLÜKLÜ,YOK,YOK,YOK
Yunak,ALTINÖZ,YOK,YOK,YOK
Yunak,AYRITEPE,YOK,YOK,YOK
Yunak,BEŞIŞIKLI,ÇATRIK BİTKİSİ,YOK,YOK
Yunak,CEBRAİL,YOK,YOK,YOK
Yunak,ÇAYIRBAŞI,YOK,YOK,YOK
Yunak,EĞRİKUYU,YOK,YOK,YOK
Yunak,HACIÖMEROĞLU,YOK,YOK,YOK
Yunak,HATIRLI,YOK,YOK,YOK
Yunak,HACIFAKILI,YOK,YOK,YOK
Yunak,HARUNLAR,YOK,YOK,YOK
Yunak,HURSUNLU,YOK,YOK,YOK
Yunak,İMAMOĞLU,YOK,YOK,YOK
Yunak,KARGALI,YOK,YOK,YOK
Yunak,KARAYAYLA,YOK,YOK,YOK
Yunak,KILLAR,YOK,YOK,YOK
Yunak,KURTUŞAĞI,YOK,YOK,YOK
Yunak,KUYUBAŞI,YOK,YOK,YOK
Yunak,MEŞELİK,YOK,YOK,YOK
Yunak,ODABAŞI,YOK,YOK,YOK
Yunak,ORTAKIŞLA,YOK,YOK,YOK
Yunak,ÖZYAYLA,YOK,YOK,YOK
Yunak,SERTLER,YOK,YOK,YOK
Yunak,SEVİNÇ,YOK,YOK,YOK
Yunak,SIRAM,YOK,YOK,YOK
Yunak,SİNANLI,YOK,YOK,YOK
Yunak,YAVAŞLI,YOK,YOK,YOK
Yunak,YEŞİLOBA,YOK,YOK,YOK
Yunak,YEŞİLYAYLA,YOK,YOK,YOK
Yunak,YIĞAR,YOK,YOK,YOK
Yunak,SARAY,YOK,YOK,YOK
