,ilce_adi,mahalle_adi,endemik_(sadece_bu_bolgede_yetisen)_bitkiler
0,Ahırlı,ALİÇERÇİ,YOK
1,Ahırlı,BADEMLİ,YOK
2,Ahırlı,BALIKLAVA,YOK
3,Ahırlı,BÜYÜKÖZ,YOK
4,Ahırlı,ÇİFTLİK,YOK
5,Ahırlı,ERDOĞAN,YOK
6,Ahırlı,KARACAKUYU,YOK
7,Ahırlı,KAYACIK,YOK
8,Ahırlı,KURUÇAY,YOK
9,Ahırlı,KÜÇÜKÖZ,YOK
10,Akören,AVDAN,YOK
11,Akören,KAYASU,YOK
12,Akören,AHMEDİYE,YOK
13,Akören,ALAN,YOK
14,Akören,BELKUYU,YOK
15,Akören,ÇATÖREN,YOK
16,Akören,DUTLU,YOK
17,Akören,ORHANİYE,YOK
18,Akören,SÜLEYMANİYE,YOK
19,Akören,TÜLCE,YOK
20,Akören,KARAHÜYÜK,YOK
21,Akşehir,ÇAKILLAR,YOK
22,Akşehir,GEDİL,YOK
23,Akşehir,KARAHÜYÜK,YOK
24,Akşehir,ADSIZ,YOK
25,Akşehir,ALANYURT,YOK
26,Akşehir,ALTUNTAŞ,YOK
27,Akşehir,ATAKENT,YOK
28,Akşehir,BOZLAĞAN,YOK
29,Akşehir,CANKURTARAN,YOK
30,Akşehir,ÇAMLI,YOK
31,Akşehir,ÇİMENDERE,YOK
32,Akşehir,DEĞİRMENKÖY,YOK
33,Akşehir,DOĞRUGÖZ,YOK
34,Akşehir,ENGİLİ,YOK
35,Akşehir,GÖLÇAYIR,YOK
36,Akşehir,GÖZPINARI,YOK
37,Akşehir,ILICAK,YOK
38,Akşehir,KARABULUT,YOK
39,Akşehir,ORTACA,YOK
40,Akşehir,ORTAKÖY,YOK
41,Akşehir,REİS,YOK
42,Akşehir,SAVAŞ,YOK
43,Akşehir,SORKUN,SARI MEYAN
44,Akşehir,SÖĞÜTLÜ,YOK
45,Akşehir,TEKKE,YOK
46,Akşehir,TİPİKÖY,YOK
47,Akşehir,ULUPINAR,YOK
48,Akşehir,ÜÇHÜYÜK,YOK
49,Akşehir,YAŞARLAR,YOK
50,Akşehir,YAYLABELEN,YOK
51,Akşehir,YAZLA,YOK
52,Akşehir,YENİKÖY,YOK
53,Akşehir,YEŞİLKÖY,YOK
54,Akşehir,SARAY,YOK
55,Altınekin,OĞUZELİ,YOK
56,Altınekin,AKCAŞAR,YOK
57,Altınekin,AYIŞIĞI,YOK
58,Altınekin,AKKÖY,YOK
59,Altınekin,BORUKKUYU,YOK
60,Altınekin,HACINUMAN,YOK
61,Altınekin,KARAKAYA,YOK
62,Altınekin,KOÇAŞ,YOK
63,Altınekin,KOÇYAKA,YOK
64,Altınekin,MANTAR,YOK
65,Altınekin,YENİÖLMEZ,YOK
66,Altınekin,SARNIÇ,YOK
67,Altınekin,TOPRAKLIK,YOK
68,Altınekin,YENİKUYU,YOK
69,Altınekin,YENİYAYLA,YOK
70,Altınekin,DEDELER,YOK
71,Altınekin,AKINCILAR,YOK
72,Beyşehir,ADAKÖY,YOK
73,Beyşehir,AĞILÖNÜ,YOK
74,Beyşehir,AKBURUN,YOK
75,Beyşehir,AKÇABELEN,YOK
76,Beyşehir,AVDANCIK,YOK
77,Beyşehir,BADEMLİ,YOK
78,Beyşehir,BAYAT,YOK
79,Beyşehir,BAYAVŞAR,YOK
80,Beyşehir,BAYINDIR,YOK
81,Beyşehir,BAŞGÖZE,YOK
82,Beyşehir,BEKDEMİR,YOK
83,Beyşehir,DAMLAPINAR,YOK
84,Beyşehir,DOĞANBEY,YOK
85,Beyşehir,DOĞANCIK,YOK
86,Beyşehir,DUMANLI,YOK
87,Beyşehir,EMEN,YOK
88,Beyşehir,ESENCE,YOK
89,Beyşehir,EYLİKLER,YOK
90,Beyşehir,EĞİRLER,YOK
91,Beyşehir,FASILLAR,YOK
92,Beyşehir,GÖKÇEKUYU,YOK
93,Beyşehir,GÖKÇİMEN,YOK
94,Beyşehir,GÖLKAŞI,YOK
95,Beyşehir,GÖLYAKA,YOK
96,Beyşehir,GÖNEN,YOK
97,Beyşehir,GÖÇÜ,ÇOBAN DÖŞEĞİ
98,Beyşehir,GÜNDOĞDU,YOK
99,Beyşehir,HUĞLU,YOK
100,Beyşehir,HÜSEYİNLER,YOK
101,Beyşehir,İSAKÖY,YOK
102,Beyşehir,KARAALİ,YOK
103,Beyşehir,KARABAYAT,YOK
104,Beyşehir,KARADİKEN,SAZ SÜMBÜLÜ
105,Beyşehir,KARAHİSAR,YOK
106,Beyşehir,KAYABAŞI,YOK
107,Beyşehir,KURUCUOVA,YOK
108,Beyşehir,KUŞLUCA,YOK
109,Beyşehir,KÜÇÜKAVŞAR,YOK
110,Beyşehir,MESUTLAR,YOK
111,Beyşehir,SADIKHACI,YOK
112,Beyşehir,SARIKÖY,YOK
113,Beyşehir,SEVİNDİK,YOK
114,Beyşehir,ŞAMLAR,YOK
115,Beyşehir,ÜÇPINAR,YOK
116,Beyşehir,ÜSTÜNLER,YOK
117,Beyşehir,ÜZÜMLÜ,YOK
118,Beyşehir,YAZYURDU,YOK
119,Beyşehir,YENİDOĞAN,YOK
120,Beyşehir,YEŞİLDAĞ,YOK
121,Beyşehir,YUKARIESENCE,YOK
122,Beyşehir,YUNUSLAR,YOK
123,Beyşehir,ÇİFTLİK,YOK
124,Beyşehir,ÇİVRİL,YOK
125,Beyşehir,ÇUKURAĞIL,YOK
126,Bozkır,ÇAĞLAYAN,YOK
127,Bozkır,HAMZALAR,YOK
128,Bozkır,AKÇAPINAR,YOK
129,Bozkır,ARMUTLU,YOK
130,Bozkır,ARSLANTAŞ,YOK
131,Bozkır,AYDINKIŞLA,YOK
132,Bozkır,AYVALCA,YOK
133,Bozkır,BAĞYURDU,YOK
134,Bozkır,BAYBAĞAN,YOK
135,Bozkır,BOZDAM,YOK
136,Bozkır,DEREİÇİ,YOK
137,Bozkır,DEREKÖY,YOK
138,Bozkır,ELMAAĞAÇ,YOK
139,Bozkır,HACILAR,YOK
140,Bozkır,HACIYUNUSLAR,YOK
141,Bozkır,HARMANPINAR,YOK
142,Bozkır,HİSARLIK,YOK
143,Bozkır,IŞIKLAR,YOK
144,Bozkır,KARABAYIR,YOK
145,Bozkır,KARACAARDIÇ,YOK
146,Bozkır,KARACAHİSAR,YOK
147,Bozkır,KARAYAHYA,YOK
148,Bozkır,KAYACILAR,YOK
149,Bozkır,KAYAPINAR,YOK
150,Bozkır,KINIK,YOK
151,Bozkır,KIZILÇAKIR,YOK
152,Bozkır,KİLDERE,YOK
153,Bozkır,KOVANLIK,YOK
154,Bozkır,KOZAĞAÇ,YOK
155,Bozkır,KUŞÇA,YOK
156,Bozkır,KÜÇÜKHİSARLIK,YOK
157,Bozkır,PINARCIK,YOK
158,Bozkır,SARIOĞLAN,YOK
159,Bozkır,SAZLI,YOK
160,Bozkır,SOĞUCAK,YOK
161,Bozkır,SORKUN,YOK
162,Bozkır,SÖĞÜT,YOK
163,Bozkır,TARLABAŞI,YOK
164,Bozkır,TAŞBAŞI,YOK
165,Bozkır,TEPEARASI,YOK
166,Bozkır,TEPELİCE,YOK
167,Bozkır,ULUPINAR,YOK
168,Bozkır,ÜÇPINAR,YOK
169,Bozkır,YALNIZCA,YOK
170,Bozkır,YAZDAMI,YOK
171,Bozkır,YELBEYİ,YOK
172,Bozkır,YENİKÖY,YOK
173,Bozkır,YOLÖREN,YOK
174,Çeltik,GÖKPINAR,YOK
175,Çeltik,ADAKASIM,YOK
176,Çeltik,DOĞANYURT,YOK
177,Çeltik,KAŞÖREN,YOK
178,Çeltik,KÜÇÜKHASAN,YOK
179,Çeltik,TORUNLAR,YOK
180,Çeltik,İSHAKUŞAĞI,YOK
181,Çeltik,HONAMLI,YOK
182,Cihanbeyli,BÖĞRÜDELİK,YOK
183,Cihanbeyli,YAPALI,YOK
184,Cihanbeyli,YENİCEOBA,YOK
185,Cihanbeyli,CUMHURİYET,YOK
186,Cihanbeyli,GEMECİK,YOK
187,Cihanbeyli,GÖKTEPE,YOK
188,Cihanbeyli,AĞABEYLİ,YOK
189,Cihanbeyli,HODOĞLU,YOK
190,Cihanbeyli,KAYI,YOK
191,Cihanbeyli,KIRKIŞLA,YOK
192,Cihanbeyli,KORKMAZLAR,YOK
193,Cihanbeyli,KÜÇÜKBEŞKAVAK,YOK
194,Cihanbeyli,MUTLUKONAK,YOK
195,Cihanbeyli,SAĞLIK,YOK
196,Cihanbeyli,SIĞIRCIK,YOK
197,Cihanbeyli,TURANLAR,YOK
198,Cihanbeyli,TÜFEKÇİPINAR,YOK
199,Cihanbeyli,UZUNCAYAYLA,YOK
200,Cihanbeyli,YÜNLÜKUYU,YOK
201,Cihanbeyli,ZAFERİYE,YOK
202,Cihanbeyli,GÖLYAZI,YOK
203,Cihanbeyli,GÜNYÜZÜ,YOK
204,Cihanbeyli,İNSUYU,YOK
205,Cihanbeyli,KANDİL,YOK
206,Cihanbeyli,KARABAĞ,YOK
207,Cihanbeyli,KELHASAN,YOK
208,Cihanbeyli,KUŞCA,YOK
209,Cihanbeyli,KÜTÜKUŞAĞI,YOK
210,Cihanbeyli,TAŞPINAR,YOK
211,Cihanbeyli,BEYLİOVA,YOK
212,Cihanbeyli,ÇİMEN,YOK
213,Cihanbeyli,ÇÖL,YOK
214,Cihanbeyli,DAMLAKUYU,YOK
215,Cihanbeyli,BULDUK,YOK
216,Cihanbeyli,BÜYÜKBEŞKAVAK,YOK
217,Cihanbeyli,KARATEPE,YOK
218,Çumra,ARIKÖREN,YOK
219,Çumra,DEDEMOĞLU,YOK
220,Çumra,TÜRKMENCAMİLİ,YOK
221,Çumra,A.B.HÜYÜĞÜ,YOK
222,Çumra,DİNEK,YOK
223,Çumra,İÇERİÇUMRA,YOK
224,Çumra,GÜVERCİNLİK,YOK
225,Çumra,KARKIN,YOK
226,Çumra,OKÇU,YOK
227,Çumra,YENİSU,YOK
228,Çumra,APA,YOK
229,Çumra,ABDİTOLU,YOK
230,Çumra,ADAKALE,YOK
231,Çumra,ALEMDAR,YOK
232,Çumra,APASARAYCIK,YOK
233,Çumra,AFŞAR,YOK
234,Çumra,AVDUL,YOK
235,Çumra,BALÇIKHİSAR,YOK
236,Çumra,BEYLERCE,YOK
237,Çumra,B.AŞLAMA,YOK
238,Çumra,CİCEK,YOK
239,Çumra,ÇUKURKAVAK,YOK
240,Çumra,DİNLENDİK,YOK
241,Çumra,DİNEKSARAY,YOK
242,Çumra,DOĞANLI,YOK
243,Çumra,FETHİYE,YOK
244,Çumra,GÖKHÜYÜK,YOK
245,Çumra,ERENTEPE,YOK
246,Çumra,İNLİ,YOK
247,Çumra,KUZUCU,YOK
248,Çumra,KÜÇÜKKÖY,YOK
249,Çumra,SEÇME,YOK
250,Çumra,SÜRGÜÇ,YOK
251,Çumra,TAHTALI,YOK
252,Çumra,T.KARAHÜYÜK,YOK
253,Çumra,TAŞAĞIL,YOK
254,Çumra,UZUNKUYU,YOK
255,Çumra,ÜÇHÜYÜK,YOK
256,Çumra,ÜRÜNLÜ,YOK
257,Çumra,YÖRÜKCAMİLİ,YOK
258,Çumra,ÇAYBAŞI,YOK
259,Derbent,ÇİFTLİKÖZÜ,YOK
260,Derbent,DEĞİŞ,YOK
261,Derbent,TEKKE,YOK
262,Derbent,GÜNEYKÖY,YOK
263,Derbent,MÜLAYİM,YOK
264,Derbent,SARAYPINAR,YOK
265,Derbent,YASSIÖREN,YOK
266,Derbent,SÜLEYMAN,YOK
267,Derbent,KARALAR,YOK
268,Derebucak,ÇAMLIK,YOK
269,Derebucak,DURAK,YOK
270,Derebucak,GENCEK,YOK
271,Derebucak,GÖYNEM,YOK
272,Derebucak,PINARBAŞI,YOK
273,Derebucak,TAŞLIPINAR,YOK
274,Derebucak,TEPEARASI,YOK
275,Derebucak,UĞURLU,YOK
276,Doğanhisar,BAŞKÖY,YOK
277,Doğanhisar,YAZLICA,YOK
278,Doğanhisar,AYASLAR,YOK
279,Doğanhisar,ÇINAROBA,YOK
280,Doğanhisar,DEŞTİĞİN,YOK
281,Doğanhisar,FIRINLI,YOK
282,Doğanhisar,GÜVENDİK,YOK
283,Doğanhisar,İLYASLAR,YOK
284,Doğanhisar,KARAAĞA,YOK
285,Doğanhisar,KEMER,YOK
286,Doğanhisar,KOÇAŞ,YOK
287,Doğanhisar,KONAKKALE,YOK
288,Doğanhisar,TEKKE,YOK
289,Doğanhisar,UNCULAR,YOK
290,Doğanhisar,YAZIR,YOK
291,Doğanhisar,YENİCE,YOK
292,Emirgazi,EKİZLİ,YOK
293,Emirgazi,AKMESCİT,YOK
294,Emirgazi,BESCİ,YOK
295,Emirgazi,DEMİRCİ,YOK
296,Emirgazi,GÖLÖREN,YOK
297,Emirgazi,IŞIKLAR,YOK
298,Emirgazi,KARAÖREN,YOK
299,Emirgazi,MEŞELİ,YOK
300,Emirgazi,ÖBEKTAŞ,YOK
301,Emirgazi,YAMAÇ,YOK
302,Ereğli,ZENGEN,YOK
303,Ereğli,ACIPINAR,YOK
304,Ereğli,ADABAĞ,YOK
305,Ereğli,AKHÜYÜK,YOK
306,Ereğli,ALHAN,YOK
307,Ereğli,AŞAĞI GÖNDELEN,YOK
308,Ereğli,AŞIKLAR,YOK
309,Ereğli,AZİZİYE,YOK
310,Ereğli,BAHÇELİ,YOK
311,Ereğli,BELCEAĞAÇ,YOK
312,Ereğli,BELKAYA,YOK
313,Ereğli,BEYKÖY,YOK
314,Ereğli,BEYÖREN,YOK
315,Ereğli,BULGURLUK,YOK
316,Ereğli,BURHANİYE,YOK
317,Ereğli,BÜYÜKDEDE,YOK
318,Ereğli,ÇAKMAK,YOK
319,Ereğli,ÇAYHAN,YOK
320,Ereğli,ÇİLLER,YOK
321,Ereğli,ÇİMENCİK,YOK
322,Ereğli,GAYBİ,YOK
323,Ereğli,GÖKÇEYAZI,YOK
324,Ereğli,GÖKTÖME,YOK
325,Ereğli,HACIMEMİŞ,YOK
326,Ereğli,KAMIŞLIKUYU,YOK
327,Ereğli,KARABURUN,YOK
328,Ereğli,KARGACI,YOK
329,Ereğli,KIZILGEDİK,YOK
330,Ereğli,KUSKUNCUK,YOK
331,Ereğli,KUTÖREN,YOK
332,Ereğli,KUZUKUYU,YOK
333,Ereğli,MELİCEK,YOK
334,Ereğli,ORHANİYE,YOK
335,Ereğli,ÖZGÜRLER,YOK
336,Ereğli,PINARÖZÜ,YOK
337,Ereğli,SARICA,YOK
338,Ereğli,SARITOPALLI,YOK
339,Ereğli,SELVİLİ,YOK
340,Ereğli,TAŞAĞIL,YOK
341,Ereğli,TAŞBUDAK,YOK
342,Ereğli,TATLIKUYU,YOK
343,Ereğli,TÜRKMEN,YOK
344,Ereğli,ULUMEŞE,YOK
345,Ereğli,YAZLIK,YOK
346,Ereğli,YELLİCE,YOK
347,Ereğli,YENİKÖY,YOK
348,Ereğli,YILDIZLI,YOK
349,Ereğli,YUKARIGÖNDELEN,YOK
350,Ereğli,HORTU,YOK
351,Ereğli,ACIKUYU,YOK
352,Güneysınır,GÜRAĞAÇ,YOK
353,Güneysınır,AĞAÇOBA,YOK
354,Güneysınır,ALANÖZÜ,YOK
355,Güneysınır,AVCITEPE,YOK
356,Güneysınır,AYDOĞMUŞ,YOK
357,Güneysınır,HABİLLER,YOK
358,Güneysınır,KARAGÜNEY,YOK
359,Güneysınır,KAYAAĞZI,YOK
360,Güneysınır,KIZILÖZ,YOK
361,Güneysınır,KURUKAVAK,YOK
362,Güneysınır,MEHMET ALİ,YOK
363,Güneysınır,ÖMEROĞLU,YOK
364,Güneysınır,ÖRENBOYALI,YOK
365,Güneysınır,SARIHACI,YOK
366,Hadim,AŞAĞIEŞENLER,YOK
367,Hadim,AŞAĞIKIZILKAYA,YOK
368,Hadim,BADEMLİ,YOK
369,Hadim,BAĞBAŞI,YOK
370,Hadim,BEYRELİ,YOK
371,Hadim,BOLAT,YOK
372,Hadim,ÇİFTEPINAR,YOK
373,Hadim,DEDEMLİ,YOK
374,Hadim,DÜLGERLER,YOK
375,Hadim,FAKILAR,YOK
376,Hadim,GAZİLER,YOK
377,Hadim,GÖYNÜKKIŞLA,YOK
378,Hadim,GÜLPINAR,YOK
379,Hadim,İĞDEÖREN,YOK
380,Hadim,KALINAĞIL,ERENLER ÇİÇEĞİ
381,Hadim,KAPLANLI,YOK
382,Hadim,GEZLEVİ,YOK
383,Hadim,KÜPLÜCE,YOK
384,Hadim,ODUNCU,YOK
385,Hadim,SARNIÇ,YOK
