ilce_adi;mahalle_adi;meshur_urunler
Ahırlı;ERDOĞAN;BAL, PEKMEZ
Ahırlı;KURUÇAY;BAL, PEYNİR
Ahırlı;KARACAKUYU;SÜT
Ahırlı;BADEMLİ;SÜT, YAĞ, KAYMAK, YOĞURT, CANLI HAYVAN
Ahırlı;ÇİFTLİK;YUMURTA
Akören;ALAN;SÜT, PEYNİR
Akören;ORHANİYE;SÜT, YAĞ, YOĞURT
Akşehir;ÇİMENDERE;BAL, YOĞURT, PEYNİR
Akşehir;BOZLAĞAN;CANLI HAYVAN
Akşehir;DOĞRUGÖZ;CANLI HAYVAN
Akşehir;GÖZPINARI;CANLI HAYVAN
Akşehir;ALANYURT;SÜT
Akşehir;ALTUNTAŞ;SÜT
Akşehir;ILICAK;SÜT
Akşehir;REİS;SÜT
Akşehir;SÖĞÜTLÜ;SÜT
Akşehir;ATAKENT;SÜT, BAL, MEYVE KURUSU
Akşehir;SAVAŞ;SÜT, BAL, PEYNİR, YUMURTA
Akşehir;TİPİKÖY;SÜT, PEYNİR
Akşehir;SARAY;SÜT, PEYNİR
Akşehir;YENİKÖY;SÜT, YAĞ, PEYNİR
Altınekin;KOÇYAKA;CANLI HAYVAN
Altınekin;YENİÖLMEZ;CANLI HAYVAN
Altınekin;YENİYAYLA;CANLI HAYVAN
Altınekin;KARAKAYA;CANLI HAYVAN, PEYNİR
Altınekin;DEDELER;CANLI HAYVAN, YUMURTA
Altınekin;AKCAŞAR;SÜT
Altınekin;AKINCILAR;SÜT
Altınekin;SARNIÇ;SÜT, CANLI HAYVAN
Altınekin;AYIŞIĞI;SÜT, PEYNİR
Altınekin;HACINUMAN;SÜT, YOĞURT, CANLI HAYVAN, PEYNİR
Altınekin;MANTAR;SÜT, YOĞURT, PEYNİR
Beyşehir;ÜÇPINAR;BAL, TARHANA
Beyşehir;GÖLKAŞI;BALIK
Beyşehir;GÖLYAKA;BALIK
Beyşehir;BAŞGÖZE;CANLI HAYVAN
Beyşehir;ÇİFTLİK;CANLI HAYVAN, BALIK
Beyşehir;DOĞANBEY;CANLI HAYVAN, SUCUK
Beyşehir;ÜZÜMLÜ;PEKMEZ, TÜFEK
Beyşehir;KARADİKEN;SÜT
Beyşehir;ÇİVRİL;SÜT
Beyşehir;GÖKÇEKUYU;SÜT, TARHANA, YOĞURT, BULGUR, YUMURTA
Beyşehir;SADIKHACI;SÜT, YAĞ, YOĞURT, CANLI HAYVAN
Beyşehir;DUMANLI;SÜT, YAĞ, YOĞURT, PEYNİR
Beyşehir;DAMLAPINAR;SÜT, YOĞURT, YUMURTA
Beyşehir;AKÇABELEN;ŞEKER FASULYE
Beyşehir;BAYAVŞAR;TARHANA
Beyşehir;EĞİRLER;TARHANA
Beyşehir;İSAKÖY;TARHANA
Beyşehir;ŞAMLAR;TARHANA
Beyşehir;GÜNDOĞDU;TARHANA, PEYNİR
Beyşehir;KARAHİSAR;TARHANA, SALÇA
Beyşehir;GÖÇÜ;TARHANA, YOĞURT, PEYNİR
Beyşehir;YEŞİLDAĞ;TARHANA, YOĞURT, PEYNİR, SALÇA
Beyşehir;HUĞLU;TÜFEK
Beyşehir;AKBURUN;YOĞURT, BALIK, PEYNİR
Bozkır;ÇAĞLAYAN;BAL, PEKMEZ
Bozkır;HİSARLIK;BAL, PEKMEZ
Bozkır;HAMZALAR;PEKMEZ
Bozkır;DEREİÇİ;PEKMEZ
Bozkır;SAZLI;PEKMEZ
Bozkır;YELBEYİ;PEKMEZ
Bozkır;BOZDAM;SÜT
Bozkır;KOZAĞAÇ;SÜT
Bozkır;SARIOĞLAN;SÜT
Bozkır;TEPELİCE;SÜT
Bozkır;AYDINKIŞLA;SÜT, CANLI HAYVAN
Bozkır;KÜÇÜKHİSARLIK;SÜT, YAĞ
Bozkır;SORKUN;SÜT, YAĞ
Bozkır;ÜÇPINAR;SÜT, YAĞ, BAL, YOĞURT, PEYNİR
Bozkır;KAYACILAR;SÜT, YAĞ, YOĞURT
Bozkır;HACILAR;SÜT, YOĞURT
Bozkır;BAĞYURDU;SÜT, YOĞURT, PEKMEZ
Bozkır;KAYAPINAR;SÜT, YOĞURT, PEYNİR
Bozkır;DEREKÖY;TAHİN
Cihanbeyli;TÜFEKÇİPINAR;PEYNİR
Cihanbeyli;KUŞCA;SÜT
Cihanbeyli;BULDUK;SÜT
Cihanbeyli;KARATEPE;SÜT, BAL, PEYNİR
Cihanbeyli;GÖKTEPE;SÜT, CANLI HAYVAN
Cihanbeyli;SIĞIRCIK;SÜT, CANLI HAYVAN
Cihanbeyli;KELHASAN;SÜT, PEYNİR
Cihanbeyli;GEMECİK;SÜT, YAĞ, CANLI HAYVAN, PEYNİR, YUMURTA
Cihanbeyli;KARABAĞ;SÜT, YAĞ, YOĞURT, CANLI HAYVAN
Cihanbeyli;YÜNLÜKUYU;SÜT, YAĞ, YOĞURT, CANLI HAYVAN, PEYNİR
Cihanbeyli;ÇİMEN;SÜT, YAĞ, YOĞURT, CANLI HAYVAN, PEYNİR
Cihanbeyli;KIRKIŞLA;SÜT, YAĞ, YOĞURT, PEYNİR
Cihanbeyli;BEYLİOVA;SÜT, YAĞ, YOĞURT, PEYNİR
Cihanbeyli;CUMHURİYET;SÜT, YOĞURT
Cihanbeyli;UZUNCAYAYLA;SÜT, YOĞURT
Cihanbeyli;BÜYÜKBEŞKAVAK;SÜT, YOĞURT
Cihanbeyli;HODOĞLU;SÜT, YOĞURT, CANLI HAYVAN, PEYNİR
Cihanbeyli;GÜNYÜZÜ;SÜT, YOĞURT, CANLI HAYVAN, PEYNİR
Cihanbeyli;AĞABEYLİ;SÜT, YOĞURT, PEYNİR
Cihanbeyli;GÖLYAZI;SÜT, YOĞURT, PEYNİR
Cihanbeyli;ÇÖL;SÜT, YOĞURT, PEYNİR
Cihanbeyli;DAMLAKUYU;SÜT, YOĞURT, PEYNİR
Cihanbeyli;MUTLUKONAK;YAĞ, PEYNİR
Cihanbeyli;KANDİL;YAĞ, YOĞURT, PEYNİR
Cihanbeyli;KÜTÜKUŞAĞI;YOĞURT, PEYNİR
Çeltik;DOĞANYURT;PEYNİR
Çeltik;HONAMLI;SÜT
Çeltik;KAŞÖREN;SÜT, YAĞ, PEYNİR
Çeltik;TORUNLAR;SÜT, YOĞURT
Çeltik;ADAKASIM;SÜT, YOĞURT, PEYNİR
Çeltik;İSHAKUŞAĞI;SÜT, YOĞURT, PEYNİR
Çumra;TAŞAĞIL;CANLI HAYVAN
Çumra;AFŞAR;SÜT
Çumra;ÜÇHÜYÜK;SÜT
Çumra;ÜRÜNLÜ;SÜT
Çumra;OKÇU;SÜT, BAL, YOĞURT
Çumra;GÜVERCİNLİK;SÜT, YAĞ, YOĞURT, PEYNİR
Çumra;KARKIN;SÜT, YOĞURT, PEYNİR
Çumra;T.KARAHÜYÜK;SÜT, YUMURTA
Derbent;SARAYPINAR;PEKMEZ
Derbent;KARALAR;SÜT, PEYNİR
Derbent;TEKKE;SÜT, YAĞ, YOĞURT, YUMURTA
Derbent;SÜLEYMAN;YUMURTA
Derebucak;DURAK;BAL
Derebucak;GENCEK;SÜT, PEKMEZ
Derebucak;ÇAMLIK;SÜT, YAĞ, YOĞURT, CANLI HAYVAN, PEYNİR
Derebucak;TEPEARASI;TARHANA, CANLI HAYVAN
Doğanhisar;ÇINAROBA;SÜT
Emirgazi;YAMAÇ;CANLI HAYVAN
Emirgazi;EKİZLİ;PEKMEZ
Emirgazi;BESCİ;SÜT
Emirgazi;IŞIKLAR;SÜT, YAĞ
Emirgazi;KARAÖREN;SÜT, YAĞ, YOĞURT, PEYNİR
Ereğli;ÇİLLER;CANLI HAYVAN
Ereğli;GÖKÇEYAZI;CANLI HAYVAN
Ereğli;YILDIZLI;SUCUK, MEYVE KURUSU, PEKMEZ
Ereğli;ÇAKMAK;SÜT
Ereğli;HACIMEMİŞ;SÜT
Ereğli;KAMIŞLIKUYU;SÜT
Ereğli;KIZILGEDİK;SÜT
Ereğli;ORHANİYE;SÜT
Ereğli;SARICA;SÜT
Ereğli;ULUMEŞE;SÜT
Ereğli;YAZLIK;SÜT
Ereğli;SELVİLİ;SÜT, CANLI HAYVAN, PEYNİR, YUMURTA
Ereğli;ÇİMENCİK;SÜT, PEYNİR
Ereğli;TÜRKMEN;SÜT, PEYNİR
Ereğli;KARABURUN;SÜT, YOĞURT
Güneysınır;SARIHACI;MEYVE KURUSU, PEKMEZ
Güneysınır;AĞAÇOBA;PEKMEZ
Güneysınır;ALANÖZÜ;PEKMEZ
Güneysınır;ÖMEROĞLU;PEKMEZ
Güneysınır;AVCITEPE;SÜT, YAĞ, PEYNİR
Güneysınır;KURUKAVAK;SÜT, YOĞURT, PEYNİR
Güneysınır;MEHMET ALİ;YOĞURT, PEKMEZ
Hadim;DEDEMLİ;BAL
Hadim;GEZLEVİ;BAL
Hadim;ODUNCU;BAL
Hadim;AŞAĞIEŞENLER;BAL, MEYVE KURUSU, PEKMEZ
Hadim;GAZİLER;BAL, PEKMEZ
Hadim;YALINÇEVRE;BAL, PEKMEZ
Hadim;YAĞCI;MEYVE KURUSU, PEKMEZ
Hadim;BADEMLİ;PEKMEZ
Hadim;DÜLGERLER;PEKMEZ
Hadim;KAPLANLI;PEKMEZ
Hadim;KÜPLÜCE;PEKMEZ
Hadim;YELMEZ;PEKMEZ
Hadim;GÖYNÜKKIŞLA;PEKMEZ, ASMA YAPRAĞI
Hadim;BOLAT;SÜT, BAL, PEKMEZ
Hadim;BEYRELİ;SÜT, BAL, YOĞURT, PEYNİR
Hadim;GÜLPINAR;SÜT, YAĞ, BAL, PEYNİR
Hadim;YUKARIEŞENLER;SÜT, YAĞ, BAL, YOĞURT, CANLI HAYVAN, MEYVE KURUSU, PEKMEZ
Hadim;BAĞBAŞI;SÜT, YAĞ, PEKMEZ
Hadim;KALINAĞIL;SÜT, YAĞ, YOĞURT, PEYNİR, PEKMEZ
Hadim;SARNIÇ;SÜT, YAĞ, YOĞURT, PEYNİR, PEKMEZ
Hadim;SELAHATTİN;SÜT, YAĞ, YOĞURT, PEYNİR, PEKMEZ
Hadim;YENİKONAK;YOĞURT, PEYNİR, PEKMEZ, ASMA YAPRAĞI
Halkapınar;ESKİHİSAR;CANLI HAYVAN, PEYNİR, PEKMEZ
Halkapınar;İVRİZ;MEYVE KURUSU, PEKMEZ
Halkapınar;OSMANKÖSELİ;PEKMEZ, CEVİZLİ SUCUK(BANDIRMA)
Halkapınar;BÜYÜKDOĞAN;SÜT
Halkapınar;DELİMAHMUTLU;SÜT, BAL
Halkapınar;YAYIKLI;SÜT, YAĞ
Halkapınar;KAYASARAY;SÜT, YOĞURT, PEYNİR
Halkapınar;SEYDİFAKILI;SÜT, YOĞURT, PEYNİR
Halkapınar;KÖRLÜ;YAĞ, YOĞURT, PEYNİR, PEKMEZ
Hüyük;BUDAK;BAL, BALIK, PEKMEZ
Hüyük;TOLCA;BALIK
Hüyük;İMRENLER;BULGUR, PEKMEZ
Hüyük;DEĞİRMENALTI;CANLI HAYVAN, YUMURTA
Hüyük;BURUNSUZ;PEKMEZ
Hüyük;KIRELİ;SÜT
Hüyük;KÖŞK;SÜT
Hüyük;YENİCE;SÜT
Hüyük;SULUDERE;SÜT, BAL, YOĞURT, PEYNİR
Hüyük;ÇAVUŞ;SÜT, PEYNİR
Hüyük;PINARBAŞI;SÜT, PEYNİR
Hüyük;MUTLU;SÜT, YAĞ, PEYNİR
Hüyük;ÇUKURKENT;SÜT, YOĞURT
Hüyük;ÇAMLICA;SÜT, YOĞURT, PEYNİR
Hüyük;SELKİ;SÜT, YOĞURT, YUMURTA
Ilgın;ÇAVUŞÇUGÖL;BALIK
Ilgın;ARGITHANI;BULGUR
Ilgın;ÇÖMLEKCİ;PEYNİR
Ilgın;AĞALAR;SÜT
Ilgın;BARAKMUSLU;SÜT
Ilgın;BÜYÜKOBA;SÜT
Ilgın;ÇOBANKAYA;SÜT
Ilgın;GEÇİT;SÜT
Ilgın;GÖLYAKA;SÜT
Ilgın;HARMANYAZI;SÜT
Ilgın;KARAKÖY;SÜT
Ilgın;MİSAFİRLİ;SÜT
Ilgın;SADIKKÖY;SÜT
Ilgın;ZAFERİYE;SÜT
Ilgın;BELEKLER;SÜT, PEYNİR
Ilgın;AVDAN;SÜT, YAĞ, YOĞURT
Ilgın;BULCUK;SÜT, YAĞ, YOĞURT, PEYNİR
Ilgın;GÖKÇEYURT;SÜT, YOĞURT
Ilgın;GÖKBUDAK;SÜT, YOĞURT
Ilgın;YUKARIÇİĞİL;SÜT, YOĞURT
Ilgın;GEDİKÖREN;SÜT, YOĞURT, CANLI HAYVAN, YUMURTA
Ilgın;ÇATAK;SÜT, YOĞURT, PEYNİR
Ilgın;DEREKÖY;SÜT, YOĞURT, PEYNİR
Ilgın;GÜNEYPINAR;SÜT, YOĞURT, PEYNİR
Ilgın;MAHMUTHİSAR;SÜT, YOĞURT, PEYNİR
Ilgın;MECİDİYE;SÜT, YOĞURT, PEYNİR
Ilgın;TEKELER;SÜT, YOĞURT, YUMURTA
Ilgın;ORMANÖZÜ;YAĞ, TARHANA, YOĞURT, PEYNİR
Ilgın;YORAZLAR;YAĞ, YOĞURT, PEYNİR, YUMURTA
Ilgın;DIĞRAK;YOĞURT
Ilgın;ORHANİYE;YUMURTA
Kadınhanı;OSMANCIK;CANLI HAYVAN
Kadınhanı;ÇEŞMECİK;CANLI HAYVAN
Kadınhanı;SAÇIKARA;CANLI HAYVAN
Kadınhanı;KARASEVİNÇ;SÜT
Kadınhanı;MEYDANLI;SÜT
Kadınhanı;PUSAT;SÜT, CANLI HAYVAN, YUMURTA
Kadınhanı;KIZILKUYU;SÜT, PEYNİR
Kadınhanı;TOSUNOĞLU;SÜT, YAĞ, BAL, CANLI HAYVAN
Kadınhanı;BEYKAVAĞI;SÜT, YAĞ, YOĞURT
Kadınhanı;ŞAHÖREN;SÜT, YAĞ, YOĞURT, PEYNİR
Kadınhanı;ÇUBUK;SÜT, YAĞ, YOĞURT, YUMURTA
Kadınhanı;ATLANTI;SÜT, YOĞURT, CANLI HAYVAN
Kadınhanı;BAŞKUYU;SÜT, YOĞURT, PEYNİR
Kadınhanı;BULGURPINAR;YAĞ, BAL, YOĞURT, YUMURTA
Kadınhanı;ALABAĞ;YAĞ, YOĞURT
Karapınar;ÇİĞİL;CANLI HAYVAN
Karapınar;YEŞİLYURT;SÜT
Karapınar;HASANOBA;SÜT, CANLI HAYVAN
Karapınar;KESMEZ;SÜT, YAĞ, YOĞURT
Karapınar;AKÇAYAZI;YOĞURT
Karatay;KIZÖREN;KAYMAK, YOĞURT, PEYNİR, YUMURTA
Karatay;ACIDORT;SÜT
Karatay;YENİKENT;SÜT
Karatay;SÜRÜÇ;SÜT, BAL
Karatay;BÜYÜKBURNAK;SÜT, CANLI HAYVAN
Karatay;KARAKAYA;SÜT, CANLI HAYVAN
Karatay;KÖSEALİ;SÜT, YAĞ, PEYNİR, TANDIR EKMEĞİ
Karatay;OVAKAVAĞI;SÜT, YAĞ, YOĞURT, PEYNİR
Karatay;KARADONA;SÜT, YAĞ, YOĞURT, PEYNİR, YUMURTA
Karatay;HAYIROĞLU MERKEZ;SÜT, YOĞURT, PEYNİR
Karatay;YARMA;SÜT, YUMURTA
Kulu;AĞILBAŞI;SÜT, PEYNİR, YUMURTA
Kulu;ÖMERANLI;SÜT, YAĞ, CANLI HAYVAN
Kulu;DİPDEDE;SÜT, YOĞURT
Kulu;BAHADIRLI;SÜT, YOĞURT
Kulu;DEĞİRMENÖZÜ;YUFKA, BULGUR
Meram;İLYASBABA;BAL
Meram;GÖKYURT;CANLI HAYVAN, PEKMEZ
Meram;BAYAT;SÜT
Meram;ÇOMAKLAR;SÜT
Meram;HATUNSARAY;SÜT
Meram;KAYHÜYÜK;SÜT
Meram;SADIKLAR;SÜT
Meram;SAĞLIK;SÜT
Meram;KAVAK;SÜT, YAĞ, PEYNİR
Meram;YEŞİLDERE;SÜT, YAĞ, PEYNİR
Meram;KAYADİBİ;SÜT, YOĞURT, PEYNİR
Meram;KIZILÖREN;SÜT, YOĞURT, PEYNİR
Sarayönü;BAŞHÜYÜK;KAYMAK, PEYNİR
Sarayönü;BÜYÜKZENGİ;SÜT
Sarayönü;KAYIÖREN;SÜT
Sarayönü;ERTUĞRUL;SÜT, PEYNİR
Sarayönü;KURŞUNLU;SÜT, PEYNİR
Sarayönü;ÇEŞMELİSEBİL;SÜT, TARHANA
Sarayönü;DEĞİRMENLİ;SÜT, YAĞ
Sarayönü;BOYALI;SÜT, YAĞ, BAL, YUMURTA
Sarayönü;KARABIYIK;SÜT, YAĞ, KAYMAK, YOĞURT, PEYNİR
Sarayönü;KONAR;SÜT, YAĞ, YOĞURT
Sarayönü;KUYULUSEBİL;SÜT, YAĞ, YOĞURT, PEYNİR
Sarayönü;KARATEPE;SÜT, YOĞURT, PEYNİR
Selçuklu;BAŞARAKAVAK;BAL
Selçuklu;Mehmet Fatih;BAL
Selçuklu;hasan;BAL, CANLI HAYVAN
Selçuklu;SİLLE;MEYVE KURUSU, PEKMEZ, TANDIR EKMEĞİ
Selçuklu;AŞAĞIPINARBAŞI;PEKMEZ
Selçuklu;SARICALAR;PEYNİR, SÜT REÇELİ
Selçuklu;KERVAN;SÜT
Selçuklu;KINIK;SÜT, KAYMAK, YOĞURT
Selçuklu;MEYDAN;SÜT, PEYNİR
Selçuklu;SELAHATTİN;SÜT, YAĞ, BAL, YOĞURT, PEYNİR
Selçuklu;YUKARIPINARBAŞI;SÜT, YAĞ, PEYNİR
Selçuklu;SULUTAS;SÜT, YAĞ, YOĞURT, PEYNİR
Selçuklu;AKPINAR;SÜT, YAĞ, YOĞURT, PEYNİR
Selçuklu;ÇALTI;SÜT, YAĞ, YOĞURT, PEYNİR
Selçuklu;KIZILCAKUYU;SÜT, YOĞURT
Selçuklu;ARDIÇLI;SÜT, YOĞURT, CANLI HAYVAN, PEYNİR, YUMURTA
Selçuklu;ÇANDIR;SÜT, YOĞURT, PEYNİR
Selçuklu;EĞRİBAYAT;SÜT, YOĞURT, PEYNİR
Selçuklu;GÜVENÇ;SÜT, YOĞURT, PEYNİR
Selçuklu;YAZIBELEN;SÜT, YOĞURT, PEYNİR
Selçuklu;YÜKSELEN;SÜT, YOĞURT, PEYNİR
Selçuklu;BAĞRIKURT;YAĞ, YOĞURT, PEYNİR
Selçuklu;KÜÇÜKMUHSİNE;YOĞURT, PEYNİR
Seydişehir;KOZLU;CANLI HAYVAN
Seydişehir;OĞLAKÇI;CANLI HAYVAN
Seydişehir;KESECİK;SÜT
Seydişehir;AKÇALAR;SÜT
Seydişehir;ÇAT;SÜT, KAYMAK, YOĞURT
Seydişehir;MADENLİ;SÜT, PEYNİR
Seydişehir;TAŞAĞIL;SÜT, PEYNİR
Seydişehir;BÜKÇE;SÜT, YAĞ, PEYNİR
Seydişehir;ÇAVUŞ;SÜT, YAĞ, PEYNİR
Seydişehir;BOYALI;SÜT, YAĞ, YOĞURT
Seydişehir;DİKİLİTAŞ;SÜT, YAĞ, YOĞURT, PEYNİR
Seydişehir;YENİCE;SÜT, YOĞURT
Seydişehir;ÇATMAKAYA;SÜT, YOĞURT, PEYNİR
Seydişehir;KIZILCA;SÜT, YOĞURT, PEYNİR
Seydişehir;YAYLACIK;YAĞ, YOĞURT, CANLI HAYVAN, PEYNİR
Seydişehir;UFACIK;YAĞ, YUMURTA
Taşkent;BALCILAR;BAL, PEYNİR
Taşkent;ILICAPINAR;KARADUT
Taşkent;KECİMEN;KURU ÜZÜM
Taşkent;AFŞAR;PEKMEZ
Taşkent;BOLAY;PEKMEZ
Taşkent;KONGUL;SÜT, YAĞ, PEYNİR
Tuzlukçu;KORAŞI;CANLI HAYVAN
Tuzlukçu;SUBATAN;CANLI HAYVAN
Tuzlukçu;KONARI;SÜT, YAĞ, YOĞURT, PEYNİR
Tuzlukçu;KÖKLÜCE;YOĞURT, PEYNİR
Yunak;ALTINÖZ;BAL
Yunak;AYRITEPE;SÜT
Yunak;ÇAYIRBAŞI;SÜT
Yunak;HACIÖMEROĞLU;SÜT
Yunak;HATIRLI;SÜT
Yunak;HARUNLAR;SÜT
Yunak;İMAMOĞLU;SÜT
Yunak;KARAYAYLA;SÜT
Yunak;KILLAR;SÜT
Yunak;KUYUBAŞI;SÜT
Yunak;ODABAŞI;SÜT
Yunak;ORTAKIŞLA;SÜT
Yunak;YEŞİLYAYLA;SÜT
Yunak;KARGALI;SÜT, CANLI HAYVAN
Yunak;HURSUNLU;SÜT, PEYNİR
Yunak;SEVİNÇ;SÜT, PEYNİR
Yunak;BEŞIŞIKLI;SÜT, YAĞ, KAYMAK, PEYNİR, YUMURTA
Yunak;YEŞİLOBA;SÜT, YAĞ, PEYNİR
Yunak;PİRİBEYLİ;SÜT, YOĞURT
Yunak;CEBRAİL;SÜT, YOĞURT
Yunak;KOÇYAZI;SÜT, YOĞURT, PEYNİR
Yunak;KURTUŞAĞI;SÜT, YOĞURT, PEYNİR
Yunak;ÖZYAYLA;SÜT, YOĞURT, PEYNİR
Yunak;SERTLER;SÜT, YOĞURT, PEYNİR
Yunak;KUZÖREN;SÜT, YOĞURT, YUMURTA
Yunak;SIRAM;YOĞURT, PEYNİR
;;
