ilce_adi,mahalle_adi,tibbi_ve_aromatik_bitki_1,tibbi_ve_aromatik_bitki_2,tibbi_ve_aromatik_bitki_3,tibbi_ve_aromatik_bitki_4,tibbi_ve_aromatik_bitki_5,tibbi_ve_aromatik_bitki_6,tibbi_ve_aromatik_bitki_7,tibbi_ve_aromatik_bitki_8
Ahırlı,ALİÇERÇİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,BADEMLİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,BALIKLAVA,ÇÖREKOTU,NANE,DAĞÇAYI,YOK,YOK,YOK,YOK,YOK
Ahırlı,BÜYÜKÖZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,ÇİFTLİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,ERDOĞAN,LAVANTA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,KARACAKUYU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,KAYACIK,LAVANTA,NANE,DAĞÇAYI,YOK,YOK,YOK,YOK,YOK
Ahırlı,KURUÇAY,ADAÇAYI,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,KÜÇÜKÖZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,AVDAN,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,KAYASU,NANE,EKİNEZYA,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK
Akören,AHMEDİYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,ALAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,BELKUYU,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,ÇATÖREN,NANE,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK
Akören,DUTLU,NANE,DAĞÇAYI,KEKİK,YOK,YOK,YOK,YOK,YOK
Akören,ORHANİYE,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,SÜLEYMANİYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,TÜLCE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,KARAHÜYÜK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÇAKILLAR,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,GEDİL,NANE,KEKİK,KİMYON,YOK,YOK,YOK,YOK,YOK
Akşehir,KARAHÜYÜK,HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ADSIZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ALANYURT,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ALTUNTAŞ,ÇÖREKOTU,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ATAKENT,HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,BOZLAĞAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,CANKURTARAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÇAMLI,ÇÖREKOTU,NANE,KEKİK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÇİMENDERE,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,DEĞİRMENKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,DOĞRUGÖZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ENGİLİ,KATRAN,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,GÖLÇAYIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,GÖZPINARI,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ILICAK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,KARABULUT,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ORTACA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ORTAKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,REİS,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,SAVAŞ,DAĞÇAYI,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,SORKUN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,SÖĞÜTLÜ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,TEKKE,DAĞÇAYI,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,TİPİKÖY,ANASON,HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ULUPINAR,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÜÇHÜYÜK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YAŞARLAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YAYLABELEN,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YAZLA,HAŞHAŞ,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YENİKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YEŞİLKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,SARAY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,OĞUZELİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AKCAŞAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AYIŞIĞI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AKKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,BORUKKUYU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,HACINUMAN,ASPİR,LAVANTA,ANASON,YOK,YOK,YOK,YOK,YOK
Altınekin,KARAKAYA,IHLAMUR,ÇÖREKOTU,KEKİK,YOK,YOK,YOK,YOK,YOK
Altınekin,KOÇAŞ,DAĞÇAYI,KEKİK,KİMYON,ALIÇ,YOK,YOK,YOK,YOK
Altınekin,KOÇYAKA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,MANTAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,YENİÖLMEZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,SARNIÇ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,TOPRAKLIK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,YENİKUYU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,YENİYAYLA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,DEDELER,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AKINCILAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ADAKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,AĞILÖNÜ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,AKBURUN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,AKÇABELEN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,AVDANCIK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BADEMLİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BAYAT,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BAYAVŞAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BAYINDIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BAŞGÖZE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,BEKDEMİR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,DAMLAPINAR,LAVANTA,KIZILCIK,KEKİK,KUŞBURNU,YOK,YOK,YOK,YOK
Beyşehir,DOĞANBEY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,DOĞANCIK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,DUMANLI,IHLAMUR,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK
Beyşehir,EMEN,ASPİR,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ESENCE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,EYLİKLER,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,EĞİRLER,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,FASILLAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖKÇEKUYU,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖKÇİMEN,ASPİR,SUSAM,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖLKAŞI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖLYAKA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖNEN,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÖÇÜ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,GÜNDOĞDU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,HUĞLU,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,HÜSEYİNLER,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,İSAKÖY,IHLAMUR,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK
Beyşehir,KARAALİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KARABAYAT,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KARADİKEN,OĞULOTU,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK
Beyşehir,KARAHİSAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KAYABAŞI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KURUCUOVA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KUŞLUCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,KÜÇÜKAVŞAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,MESUTLAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,SADIKHACI,HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,SARIKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,SEVİNDİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ŞAMLAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ÜÇPINAR,IHLAMUR,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK
Beyşehir,ÜSTÜNLER,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ÜZÜMLÜ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,YAZYURDU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,YENİDOĞAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,YEŞİLDAĞ,IHLAMUR,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK
Beyşehir,YUKARIESENCE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,YUNUSLAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ÇİFTLİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ÇİVRİL,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Beyşehir,ÇUKURAĞIL,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,ÇAĞLAYAN,DAĞÇAYI,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HAMZALAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,AKÇAPINAR,ADAÇAYI,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,ARMUTLU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,ARSLANTAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,AYDINKIŞLA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,AYVALCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,BAĞYURDU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,BAYBAĞAN,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,BOZDAM,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,DEREİÇİ,KİŞNİŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,DEREKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,ELMAAĞAÇ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HACILAR,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HACIYUNUSLAR,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HARMANPINAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,HİSARLIK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,IŞIKLAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KARABAYIR,ÇÖREKOTU,DAĞÇAYI,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KARACAARDIÇ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KARACAHİSAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KARAYAHYA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KAYACILAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KAYAPINAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KINIK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KIZILÇAKIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KİLDERE,LAVANTA,DAĞÇAYI,KEKİK,YOK,YOK,YOK,YOK,YOK
Bozkır,KOVANLIK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KOZAĞAÇ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KUŞÇA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,KÜÇÜKHİSARLIK,NANE,ADAÇAYI,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,PINARCIK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,SARIOĞLAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,SAZLI,DAĞÇAYI,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,SOĞUCAK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,SORKUN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,SÖĞÜT,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,TARLABAŞI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,TAŞBAŞI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,TEPEARASI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,TEPELİCE,NANE,DAĞÇAYI,KEKİK,YOK,YOK,YOK,YOK,YOK
Bozkır,ULUPINAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,ÜÇPINAR,NANE,DAĞÇAYI,KEKİK,YOK,YOK,YOK,YOK,YOK
Bozkır,YALNIZCA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,YAZDAMI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,YELBEYİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,YENİKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Bozkır,YOLÖREN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,GÖKPINAR,ÇÖREKOTU,NANE,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,ADAKASIM,REZENE,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,DOĞANYURT,ASPİR,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,KAŞÖREN,HAŞHAŞ,REZENE,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,KÜÇÜKHASAN,ASPİR,ÇÖREKOTU,REZENE,YOK,YOK,YOK,YOK,YOK
Çeltik,TORUNLAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çeltik,İSHAKUŞAĞI,ÇÖREKOTU,REZENE,KİMYON,YOK,YOK,YOK,YOK,YOK
Çeltik,HONAMLI,NANE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,BÖĞRÜDELİK,ÇÖREKOTU,NANE,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,YAPALI,ÇÖREKOTU,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,YENİCEOBA,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,CUMHURİYET,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,GEMECİK,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,GÖKTEPE,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,AĞABEYLİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,HODOĞLU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KAYI,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KIRKIŞLA,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KORKMAZLAR,ÇÖREKOTU,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KÜÇÜKBEŞKAVAK,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,MUTLUKONAK,REZENE,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,SAĞLIK,ÇÖREKOTU,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,SIĞIRCIK,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,TURANLAR,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,TÜFEKÇİPINAR,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,UZUNCAYAYLA,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,YÜNLÜKUYU,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,ZAFERİYE,ÇÖREKOTU,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,GÖLYAZI,ÇÖREKOTU,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,GÜNYÜZÜ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,İNSUYU,IHLAMUR,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KANDİL,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KARABAĞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KELHASAN,ANASON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KUŞCA,ÇÖREKOTU,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KÜTÜKUŞAĞI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,TAŞPINAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,BEYLİOVA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,ÇİMEN,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,ÇÖL,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,DAMLAKUYU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,BULDUK,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,BÜYÜKBEŞKAVAK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Cihanbeyli,KARATEPE,ÇÖREKOTU,KİMYON,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ARIKÖREN,ÇÖREKOTU,NANE,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DEDEMOĞLU,NANE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,TÜRKMENCAMİLİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,A.B.HÜYÜĞÜ,NANE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DİNEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,İÇERİÇUMRA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,GÜVERCİNLİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,KARKIN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,OKÇU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,YENİSU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,APA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ABDİTOLU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ADAKALE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ALEMDAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,APASARAYCIK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,AFŞAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,AVDUL,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,BALÇIKHİSAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,BEYLERCE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,B.AŞLAMA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,CİCEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ÇUKURKAVAK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DİNLENDİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DİNEKSARAY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,DOĞANLI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,FETHİYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,GÖKHÜYÜK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,ERENTEPE,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,İNLİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,KUZUCU,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,KÜÇÜKKÖY,NANE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,SEÇME,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,SÜRGÜÇ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,TAHTALI,DAĞÇAYI,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Çumra,T.KARAHÜYÜK,NANE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
