,ilce_adi,mahalle_adi,tibbi_ve_aromatik_bitki_yetistiriciligi
0,Ahırlı,ALİÇERÇİ,YOK
1,Ahırlı,BADEMLİ,YOK
2,Ahırlı,BALIKLAVA,"ÇÖREKOTU, NANE, DAĞ ÇAYI"
3,Ahırlı,BÜYÜKÖZ,YOK
4,Ahırlı,ÇİFTLİK,YOK
5,Ahırlı,ERDOĞAN,LAVANTA
6,Ahırlı,KARACAKUYU,YOK
7,Ahırlı,KAYACIK,"LAVANTA, NANE, DAĞ ÇAYI"
8,Ahırlı,KURUÇAY,ADA ÇAYI
9,Ahırlı,KÜÇÜKÖZ,YOK
10,Akören,AVDAN,KEKİK
11,Akören,KAYASU,"NANE, EKİNEZYA, KEKİK, ADA ÇAYI"
12,Akören,AHMEDİYE,YOK
13,Akören,ALAN,YOK
14,Akören,BELKUYU,ÇÖREKOTU
15,Akören,ÇATÖREN,"NANE, KEKİK, ADA ÇAYI"
16,Akören,DUTLU,"NANE, DAĞ ÇAYI, KEKİK"
17,Akören,ORHANİYE,ÇÖREKOTU
18,Akören,SÜLEYMANİYE,YOK
19,Akören,TÜLCE,YOK
20,Akören,KARAHÜYÜK,YOK
21,Akşehir,ÇAKILLAR,"KEKİK, ADA ÇAYI"
22,Akşehir,GEDİL,"NANE, KEKİK, KİMYON"
23,Akşehir,KARAHÜYÜK,HAŞHAŞ
24,Akşehir,ADSIZ,YOK
25,Akşehir,ALANYURT,YOK
26,Akşehir,ALTUNTAŞ,"ÇÖREKOTU, KEKİK"
27,Akşehir,ATAKENT,HAŞHAŞ
28,Akşehir,BOZLAĞAN,YOK
29,Akşehir,CANKURTARAN,YOK
30,Akşehir,ÇAMLI,"ÇÖREKOTU, NANE, KEKİK"
31,Akşehir,ÇİMENDERE,ÇÖREKOTU
32,Akşehir,DEĞİRMENKÖY,YOK
33,Akşehir,DOĞRUGÖZ,YOK
34,Akşehir,ENGİLİ,"KATRAN, ÇÖREKOTU"
35,Akşehir,GÖLÇAYIR,YOK
36,Akşehir,GÖZPINARI,ÇÖREKOTU
37,Akşehir,ILICAK,YOK
38,Akşehir,KARABULUT,ÇÖREKOTU
39,Akşehir,ORTACA,YOK
40,Akşehir,ORTAKÖY,YOK
41,Akşehir,REİS,YOK
42,Akşehir,SAVAŞ,DAĞ ÇAYI
43,Akşehir,SORKUN,YOK
44,Akşehir,SÖĞÜTLÜ,YOK
45,Akşehir,TEKKE,"DAĞ ÇAYI, KEKİK"
46,Akşehir,TİPİKÖY,"ANASON, HAŞHAŞ"
47,Akşehir,ULUPINAR,ÇÖREKOTU
48,Akşehir,ÜÇHÜYÜK,YOK
49,Akşehir,YAŞARLAR,YOK
50,Akşehir,YAYLABELEN,KEKİK
51,Akşehir,YAZLA,"HAŞHAŞ, ÇÖREKOTU"
52,Akşehir,YENİKÖY,YOK
53,Akşehir,YEŞİLKÖY,YOK
54,Akşehir,SARAY,YOK
55,Altınekin,OĞUZELİ,YOK
56,Altınekin,AKCAŞAR,YOK
57,Altınekin,AYIŞIĞI,YOK
58,Altınekin,AKKÖY,YOK
59,Altınekin,BORUKKUYU,YOK
60,Altınekin,HACINUMAN,"ASPİR, LAVANTA, ANASON"
61,Altınekin,KARAKAYA,"IHLAMUR, ÇÖREKOTU, KEKİK"
62,Altınekin,KOÇAŞ,"DAĞ ÇAYI, KEKİK, KİMYON, ALIÇ"
63,Altınekin,KOÇYAKA,YOK
64,Altınekin,MANTAR,YOK
65,Altınekin,YENİÖLMEZ,YOK
66,Altınekin,SARNIÇ,YOK
67,Altınekin,TOPRAKLIK,YOK
68,Altınekin,YENİKUYU,YOK
69,Altınekin,YENİYAYLA,YOK
70,Altınekin,DEDELER,ÇÖREKOTU
71,Altınekin,AKINCILAR,YOK
72,Beyşehir,ADAKÖY,YOK
73,Beyşehir,AĞILÖNÜ,YOK
74,Beyşehir,AKBURUN,YOK
75,Beyşehir,AKÇABELEN,YOK
76,Beyşehir,AVDANCIK,YOK
77,Beyşehir,BADEMLİ,YOK
78,Beyşehir,BAYAT,YOK
79,Beyşehir,BAYAVŞAR,YOK
80,Beyşehir,BAYINDIR,YOK
81,Beyşehir,BAŞGÖZE,YOK
82,Beyşehir,BEKDEMİR,YOK
83,Beyşehir,DAMLAPINAR,"LAVANTA, KIZILCIK, KEKİK, KUŞBURNU"
84,Beyşehir,DOĞANBEY,YOK
85,Beyşehir,DOĞANCIK,YOK
86,Beyşehir,DUMANLI,"IHLAMUR, KEKİK, ADA ÇAYI"
87,Beyşehir,EMEN,ASPİR
88,Beyşehir,ESENCE,YOK
89,Beyşehir,EYLİKLER,YOK
90,Beyşehir,EĞİRLER,YOK
91,Beyşehir,FASILLAR,YOK
92,Beyşehir,GÖKÇEKUYU,"KEKİK, ADA ÇAYI"
93,Beyşehir,GÖKÇİMEN,"ASPİR, SUSAM"
94,Beyşehir,GÖLKAŞI,YOK
95,Beyşehir,GÖLYAKA,YOK
96,Beyşehir,GÖNEN,KEKİK
97,Beyşehir,GÖÇÜ,YOK
98,Beyşehir,GÜNDOĞDU,YOK
99,Beyşehir,HUĞLU,KEKİK
100,Beyşehir,HÜSEYİNLER,YOK
101,Beyşehir,İSAKÖY,"IHLAMUR, KEKİK, ADA ÇAYI"
102,Beyşehir,KARAALİ,YOK
103,Beyşehir,KARABAYAT,YOK
104,Beyşehir,KARADİKEN,"OĞUL OTU, KEKİK, ADA ÇAYI"
105,Beyşehir,KARAHİSAR,YOK
106,Beyşehir,KAYABAŞI,YOK
107,Beyşehir,KURUCUOVA,YOK
108,Beyşehir,KUŞLUCA,YOK
109,Beyşehir,KÜÇÜKAVŞAR,YOK
110,Beyşehir,MESUTLAR,YOK
111,Beyşehir,SADIKHACI,HAŞHAŞ
112,Beyşehir,SARIKÖY,YOK
113,Beyşehir,SEVİNDİK,YOK
114,Beyşehir,ŞAMLAR,YOK
115,Beyşehir,ÜÇPINAR,"IHLAMUR, KEKİK, ADA ÇAYI"
116,Beyşehir,ÜSTÜNLER,YOK
117,Beyşehir,ÜZÜMLÜ,YOK
118,Beyşehir,YAZYURDU,YOK
119,Beyşehir,YENİDOĞAN,YOK
120,Beyşehir,YEŞİLDAĞ,"IHLAMUR, KEKİK, ADA ÇAYI"
121,Beyşehir,YUKARIESENCE,YOK
122,Beyşehir,YUNUSLAR,YOK
123,Beyşehir,ÇİFTLİK,YOK
124,Beyşehir,ÇİVRİL,YOK
125,Beyşehir,ÇUKURAĞIL,YOK
126,Bozkır,ÇAĞLAYAN,"DAĞ ÇAYI, KEKİK"
127,Bozkır,HAMZALAR,YOK
128,Bozkır,AKÇAPINAR,ADA ÇAYI
129,Bozkır,ARMUTLU,YOK
130,Bozkır,ARSLANTAŞ,YOK
131,Bozkır,AYDINKIŞLA,YOK
132,Bozkır,AYVALCA,YOK
133,Bozkır,BAĞYURDU,YOK
134,Bozkır,BAYBAĞAN,KEKİK
135,Bozkır,BOZDAM,YOK
136,Bozkır,DEREİÇİ,KİŞNİŞ
137,Bozkır,DEREKÖY,YOK
138,Bozkır,ELMAAĞAÇ,YOK
139,Bozkır,HACILAR,ÇÖREKOTU
140,Bozkır,HACIYUNUSLAR,ÇÖREKOTU
141,Bozkır,HARMANPINAR,YOK
142,Bozkır,HİSARLIK,YOK
143,Bozkır,IŞIKLAR,YOK
144,Bozkır,KARABAYIR,"ÇÖREKOTU, DAĞ ÇAYI"
145,Bozkır,KARACAARDIÇ,YOK
146,Bozkır,KARACAHİSAR,YOK
147,Bozkır,KARAYAHYA,YOK
148,Bozkır,KAYACILAR,YOK
149,Bozkır,KAYAPINAR,YOK
150,Bozkır,KINIK,YOK
151,Bozkır,KIZILÇAKIR,YOK
152,Bozkır,KİLDERE,"LAVANTA, DAĞ ÇAYI, KEKİK"
153,Bozkır,KOVANLIK,YOK
154,Bozkır,KOZAĞAÇ,YOK
155,Bozkır,KUŞÇA,YOK
156,Bozkır,KÜÇÜKHİSARLIK,"NANE, ADA ÇAYI"
157,Bozkır,PINARCIK,YOK
158,Bozkır,SARIOĞLAN,YOK
159,Bozkır,SAZLI,"DAĞ ÇAYI, KEKİK"
160,Bozkır,SOĞUCAK,YOK
161,Bozkır,SORKUN,YOK
162,Bozkır,SÖĞÜT,YOK
163,Bozkır,TARLABAŞI,YOK
164,Bozkır,TAŞBAŞI,YOK
165,Bozkır,TEPEARASI,YOK
166,Bozkır,TEPELİCE,"NANE, DAĞ ÇAYI, KEKİK"
167,Bozkır,ULUPINAR,YOK
168,Bozkır,ÜÇPINAR,"NANE, DAĞ ÇAYI, KEKİK"
169,Bozkır,YALNIZCA,YOK
170,Bozkır,YAZDAMI,YOK
171,Bozkır,YELBEYİ,YOK
172,Bozkır,YENİKÖY,YOK
173,Bozkır,YOLÖREN,YOK
174,Çeltik,GÖKPINAR,"ÇÖREKOTU, NANE"
175,Çeltik,ADAKASIM,"REZENE, KİMYON"
176,Çeltik,DOĞANYURT,"ASPİR, KİMYON"
177,Çeltik,KAŞÖREN,"HAŞHAŞ, REZENE"
178,Çeltik,KÜÇÜKHASAN,"ASPİR, ÇÖREKOTU, REZENE"
179,Çeltik,TORUNLAR,YOK
180,Çeltik,İSHAKUŞAĞI,"ÇÖREKOTU, REZENE, KİMYON"
181,Çeltik,HONAMLI,NANE
182,Cihanbeyli,BÖĞRÜDELİK,"ÇÖREKOTU, NANE"
183,Cihanbeyli,YAPALI,"ÇÖREKOTU, KİMYON"
184,Cihanbeyli,YENİCEOBA,KİMYON
185,Cihanbeyli,CUMHURİYET,KİMYON
186,Cihanbeyli,GEMECİK,KİMYON
187,Cihanbeyli,GÖKTEPE,KİMYON
188,Cihanbeyli,AĞABEYLİ,YOK
189,Cihanbeyli,HODOĞLU,YOK
190,Cihanbeyli,KAYI,KİMYON
191,Cihanbeyli,KIRKIŞLA,ÇÖREKOTU
192,Cihanbeyli,KORKMAZLAR,"ÇÖREKOTU, KİMYON"
193,Cihanbeyli,KÜÇÜKBEŞKAVAK,KİMYON
194,Cihanbeyli,MUTLUKONAK,"REZENE, KİMYON"
195,Cihanbeyli,SAĞLIK,"ÇÖREKOTU, KİMYON"
196,Cihanbeyli,SIĞIRCIK,KİMYON
197,Cihanbeyli,TURANLAR,KİMYON
198,Cihanbeyli,TÜFEKÇİPINAR,KİMYON
199,Cihanbeyli,UZUNCAYAYLA,KİMYON
200,Cihanbeyli,YÜNLÜKUYU,KİMYON
201,Cihanbeyli,ZAFERİYE,"ÇÖREKOTU, KİMYON"
202,Cihanbeyli,GÖLYAZI,"ÇÖREKOTU, KİMYON"
203,Cihanbeyli,GÜNYÜZÜ,YOK
204,Cihanbeyli,İNSUYU,"IHLAMUR, ÇÖREKOTU"
205,Cihanbeyli,KANDİL,KİMYON
206,Cihanbeyli,KARABAĞ,YOK
207,Cihanbeyli,KELHASAN,ANASON
208,Cihanbeyli,KUŞCA,"ÇÖREKOTU, KİMYON"
209,Cihanbeyli,KÜTÜKUŞAĞI,YOK
210,Cihanbeyli,TAŞPINAR,YOK
211,Cihanbeyli,BEYLİOVA,YOK
212,Cihanbeyli,ÇİMEN,KİMYON
213,Cihanbeyli,ÇÖL,KİMYON
214,Cihanbeyli,DAMLAKUYU,YOK
215,Cihanbeyli,BULDUK,KİMYON
216,Cihanbeyli,BÜYÜKBEŞKAVAK,YOK
217,Cihanbeyli,KARATEPE,"ÇÖREKOTU, KİMYON"
218,Çumra,ARIKÖREN,"ÇÖREKOTU, NANE"
219,Çumra,DEDEMOĞLU,NANE
220,Çumra,TÜRKMENCAMİLİ,YOK
221,Çumra,A.B.HÜYÜĞÜ,NANE
222,Çumra,DİNEK,YOK
223,Çumra,İÇERİÇUMRA,YOK
224,Çumra,GÜVERCİNLİK,YOK
225,Çumra,KARKIN,YOK
226,Çumra,OKÇU,YOK
227,Çumra,YENİSU,YOK
228,Çumra,APA,YOK
229,Çumra,ABDİTOLU,YOK
230,Çumra,ADAKALE,YOK
231,Çumra,ALEMDAR,YOK
232,Çumra,APASARAYCIK,YOK
233,Çumra,AFŞAR,YOK
234,Çumra,AVDUL,YOK
235,Çumra,BALÇIKHİSAR,YOK
236,Çumra,BEYLERCE,YOK
237,Çumra,B.AŞLAMA,YOK
238,Çumra,CİCEK,YOK
239,Çumra,ÇUKURKAVAK,YOK
240,Çumra,DİNLENDİK,YOK
241,Çumra,DİNEKSARAY,YOK
242,Çumra,DOĞANLI,YOK
243,Çumra,FETHİYE,YOK
244,Çumra,GÖKHÜYÜK,YOK
245,Çumra,ERENTEPE,KEKİK
246,Çumra,İNLİ,YOK
247,Çumra,KUZUCU,KEKİK
248,Çumra,KÜÇÜKKÖY,NANE
249,Çumra,SEÇME,YOK
250,Çumra,SÜRGÜÇ,YOK
251,Çumra,TAHTALI,DAĞ ÇAYI
252,Çumra,T.KARAHÜYÜK,NANE
253,Çumra,TAŞAĞIL,YOK
254,Çumra,UZUNKUYU,YOK
255,Çumra,ÜÇHÜYÜK,YOK
256,Çumra,ÜRÜNLÜ,YOK
257,Çumra,YÖRÜKCAMİLİ,LAVANTA
258,Çumra,ÇAYBAŞI,"LAVANTA, NANE, KEKİK"
259,Derbent,ÇİFTLİKÖZÜ,YOK
260,Derbent,DEĞİŞ,YOK
261,Derbent,TEKKE,YOK
262,Derbent,GÜNEYKÖY,YOK
263,Derbent,MÜLAYİM,DAĞ ÇAYI
264,Derbent,SARAYPINAR,HAŞHAŞ
265,Derbent,YASSIÖREN,YOK
266,Derbent,SÜLEYMAN,YOK
267,Derbent,KARALAR,YOK
268,Derebucak,ÇAMLIK,"DAĞ ÇAYI, KEKİK"
269,Derebucak,DURAK,YOK
270,Derebucak,GENCEK,"NANE, KEKİK, ADA ÇAYI"
271,Derebucak,GÖYNEM,YOK
272,Derebucak,PINARBAŞI,YOK
273,Derebucak,TAŞLIPINAR,YOK
274,Derebucak,TEPEARASI,YOK
275,Derebucak,UĞURLU,"NANE, KEKİK"
276,Doğanhisar,BAŞKÖY,YOK
277,Doğanhisar,YAZLICA,"KEKİK, ADA ÇAYI"
278,Doğanhisar,AYASLAR,YOK
279,Doğanhisar,ÇINAROBA,ÇÖREKOTU
280,Doğanhisar,DEŞTİĞİN,YOK
281,Doğanhisar,FIRINLI,"KATRAN, OĞUL OTU, DAĞ ÇAYI, KEKİK, KUŞBURNU"
282,Doğanhisar,GÜVENDİK,YOK
283,Doğanhisar,İLYASLAR,YOK
284,Doğanhisar,KARAAĞA,"NANE, KEKİK"
285,Doğanhisar,KEMER,YOK
286,Doğanhisar,KOÇAŞ,KİMYON
287,Doğanhisar,KONAKKALE,YOK
288,Doğanhisar,TEKKE,YOK
289,Doğanhisar,UNCULAR,YOK
290,Doğanhisar,YAZIR,YOK
291,Doğanhisar,YENİCE,YOK
292,Emirgazi,EKİZLİ,KEKİK
293,Emirgazi,AKMESCİT,"KEKİK, KİMYON"
294,Emirgazi,BESCİ,YOK
295,Emirgazi,DEMİRCİ,YOK
296,Emirgazi,GÖLÖREN,"DAĞ ÇAYI, KEKİK"
297,Emirgazi,IŞIKLAR,YOK
298,Emirgazi,KARAÖREN,YOK
299,Emirgazi,MEŞELİ,KEKİK
300,Emirgazi,ÖBEKTAŞ,YOK
301,Emirgazi,YAMAÇ,YOK
302,Ereğli,ZENGEN,YOK
303,Ereğli,ACIPINAR,YOK
304,Ereğli,ADABAĞ,NANE
305,Ereğli,AKHÜYÜK,YOK
306,Ereğli,ALHAN,YOK
307,Ereğli,AŞAĞI GÖNDELEN,YOK
308,Ereğli,AŞIKLAR,YOK
309,Ereğli,AZİZİYE,"NANE, KİMYON"
310,Ereğli,BAHÇELİ,YOK
311,Ereğli,BELCEAĞAÇ,YOK
312,Ereğli,BELKAYA,YOK
313,Ereğli,BEYKÖY,YOK
314,Ereğli,BEYÖREN,KEKİK
315,Ereğli,BULGURLUK,YOK
316,Ereğli,BURHANİYE,YOK
317,Ereğli,BÜYÜKDEDE,"NANE, KEKİK, ADA ÇAYI"
318,Ereğli,ÇAKMAK,"NANE, KEKİK"
319,Ereğli,ÇAYHAN,KİMYON
320,Ereğli,ÇİLLER,KİMYON
321,Ereğli,ÇİMENCİK,YOK
322,Ereğli,GAYBİ,YOK
323,Ereğli,GÖKÇEYAZI,NANE
324,Ereğli,GÖKTÖME,YOK
325,Ereğli,HACIMEMİŞ,YOK
326,Ereğli,KAMIŞLIKUYU,YOK
327,Ereğli,KARABURUN,YOK
328,Ereğli,KARGACI,"NANE, KEKİK"
329,Ereğli,KIZILGEDİK,YOK
330,Ereğli,KUSKUNCUK,KİMYON
331,Ereğli,KUTÖREN,YOK
332,Ereğli,KUZUKUYU,KİMYON
333,Ereğli,MELİCEK,YOK
334,Ereğli,ORHANİYE,"HAŞHAŞ, ÇÖREKOTU, NANE, KİMYON"
335,Ereğli,ÖZGÜRLER,YOK
336,Ereğli,PINARÖZÜ,YOK
337,Ereğli,SARICA,YOK
338,Ereğli,SARITOPALLI,NANE
339,Ereğli,SELVİLİ,"ÇÖREKOTU, NANE"
340,Ereğli,TAŞAĞIL,YOK
341,Ereğli,TAŞBUDAK,ÇÖREKOTU
342,Ereğli,TATLIKUYU,YOK
343,Ereğli,TÜRKMEN,YOK
344,Ereğli,ULUMEŞE,YOK
345,Ereğli,YAZLIK,ÇEMEN
346,Ereğli,YELLİCE,YOK
347,Ereğli,YENİKÖY,"KİMYON, SUSAM"
348,Ereğli,YILDIZLI,YOK
349,Ereğli,YUKARIGÖNDELEN,ÇÖREKOTU
350,Ereğli,HORTU,YOK
351,Ereğli,ACIKUYU,"NANE, KEKİK, KİMYON"
352,Güneysınır,GÜRAĞAÇ,YOK
353,Güneysınır,AĞAÇOBA,"KEKİK, ADA ÇAYI"
354,Güneysınır,ALANÖZÜ,YOK
355,Güneysınır,AVCITEPE,YOK
356,Güneysınır,AYDOĞMUŞ,ÇÖREKOTU
357,Güneysınır,HABİLLER,KEKİK
358,Güneysınır,KARAGÜNEY,YOK
359,Güneysınır,KAYAAĞZI,"NANE, KEKİK"
360,Güneysınır,KIZILÖZ,YOK
361,Güneysınır,KURUKAVAK,YOK
362,Güneysınır,MEHMET ALİ,ÇÖREKOTU
363,Güneysınır,ÖMEROĞLU,YOK
364,Güneysınır,ÖRENBOYALI,YOK
365,Güneysınır,SARIHACI,YOK
366,Hadim,AŞAĞIEŞENLER,YOK
367,Hadim,AŞAĞIKIZILKAYA,"ÇÖREKOTU, SAFRAN"
368,Hadim,BADEMLİ,"KATRAN, KANTARON"
369,Hadim,BAĞBAŞI,"KEKİK, SUMAK"
370,Hadim,BEYRELİ,"ASPİR, IHLAMUR, ÇÖREKOTU, NANE, KUŞBURNU, PAPATYA, ADA ÇAYI, SALEP"
371,Hadim,BOLAT,YOK
372,Hadim,ÇİFTEPINAR,"BİBERİYE, NANE, EKİNEZYA, KEKİK"
373,Hadim,DEDEMLİ,YOK
374,Hadim,DÜLGERLER,ÇÖREKOTU
375,Hadim,FAKILAR,YOK
376,Hadim,GAZİLER,YOK
377,Hadim,GÖYNÜKKIŞLA,"NANE, KEKİK"
378,Hadim,GÜLPINAR,"KEKİK, SUMAK, KANTARON"
379,Hadim,İĞDEÖREN,"NANE, KEKİK, ADA ÇAYI"
380,Hadim,KALINAĞIL,"KANTARON, SALEP"
381,Hadim,KAPLANLI,"NANE, KEKİK, ADA ÇAYI"
382,Hadim,GEZLEVİ,"KEKİK, KUŞBURNU"
383,Hadim,KÜPLÜCE,YOK
